| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0           |                       1 |              0 |         1.57715 |
| Periodic_0           |                       1 |              1 |         1.57715 |
| Periodic_1           |                       1 |              0 |         1.54511 |
| Periodic_1           |                       1 |              1 |         1.54511 |
| Periodic_2           |                       1 |              0 |         1.56619 |
| Periodic_2           |                       1 |              1 |         1.56619 |
| Periodic_3           |                       1 |              0 |         1.58125 |
| Periodic_3           |                       1 |              1 |         1.58125 |
| Periodic_4           |                       1 |              0 |         1.56927 |
| Periodic_4           |                       1 |              1 |         1.56927 |
| Periodic_5           |                       1 |              0 |         1.5783  |
| Periodic_5           |                       1 |              1 |         1.5783  |
| Periodic_6           |                       1 |              0 |         1.58193 |
| Periodic_6           |                       1 |              1 |         1.58193 |
| Periodic_7           |                       1 |              0 |         1.58485 |
| Periodic_7           |                       1 |              1 |         1.58485 |
| RBF_0                |                       1 |              0 |         1.53029 |
| RBF_0                |                       1 |              1 |         1.53029 |
| RBF_1                |                       1 |              0 |         1.58701 |
| RBF_1                |                       1 |              1 |         1.58701 |
| RBF_2                |                       1 |              0 |         1.53535 |
| RBF_2                |                       1 |              1 |         1.53535 |
| RBF_3                |                       1 |              0 |         1.56677 |
| RBF_3                |                       1 |              1 |         1.56677 |
| RBF_4                |                       1 |              0 |         1.58786 |
| RBF_4                |                       1 |              1 |         1.58786 |
| RBF_5                |                       1 |              0 |         1.57219 |
| RBF_5                |                       1 |              1 |         1.57219 |
| RBF_6                |                       1 |              0 |         1.59085 |
| RBF_6                |                       1 |              1 |         1.59085 |
| RBF_7                |                       1 |              0 |         1.58656 |
| RBF_7                |                       1 |              1 |         1.58656 |
| Matern32_0           |                       1 |              0 |         1.51923 |
| Matern32_0           |                       1 |              1 |         1.51923 |
| Matern32_1           |                       1 |              0 |         1.5759  |
| Matern32_1           |                       1 |              1 |         1.5759  |
| Matern32_2           |                       1 |              0 |         1.52617 |
| Matern32_2           |                       1 |              1 |         1.52617 |
| Matern32_3           |                       1 |              0 |         1.55251 |
| Matern32_3           |                       1 |              1 |         1.55251 |
