| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0           |                       1 |              0 |        489.61   |
| Periodic_0           |                       1 |            100 |        249.252  |
| Periodic_0           |                       1 |            200 |        174.242  |
| Periodic_0           |                       1 |            300 |        137.712  |
| Periodic_0           |                       1 |            400 |        115.852  |
| Periodic_0           |                       1 |            500 |        101.142  |
| Periodic_0           |                       1 |            600 |         90.4792 |
| Periodic_0           |                       1 |            700 |         82.3293 |
| Periodic_0           |                       1 |            800 |         75.8559 |
| Periodic_0           |                       1 |            900 |         70.5616 |
| Periodic_0           |                       1 |           1000 |         66.1687 |
| RBF_0                |                       1 |              0 |       2531.36   |
| RBF_0                |                       1 |            100 |       1011.52   |
| RBF_0                |                       1 |            200 |        634.691  |
| RBF_0                |                       1 |            300 |        467.97   |
| RBF_0                |                       1 |            400 |        373.707  |
| RBF_0                |                       1 |            500 |        312.854  |
| RBF_0                |                       1 |            600 |        270.148  |
| RBF_0                |                       1 |            700 |        238.407  |
| RBF_0                |                       1 |            800 |        213.804  |
| RBF_0                |                       1 |            900 |        194.117  |
| RBF_0                |                       1 |           1000 |        178.109  |
| Matern32_0           |                       1 |              0 |       3777.87   |
| Matern32_0           |                       1 |            100 |       1421.23   |
| Matern32_0           |                       1 |            200 |        868.551  |
| Matern32_0           |                       1 |            300 |        630.404  |
| Matern32_0           |                       1 |            400 |        497.944  |
| Matern32_0           |                       1 |            500 |        413.429  |
| Matern32_0           |                       1 |            600 |        354.651  |
| Matern32_0           |                       1 |            700 |        311.279  |
| Matern32_0           |                       1 |            800 |        277.865  |
| Matern32_0           |                       1 |            900 |        251.264  |
| Matern32_0           |                       1 |           1000 |        229.732  |
| Matern52_0           |                       1 |              0 |       3640.63   |
| Matern52_0           |                       1 |            100 |       1370.96   |
| Matern52_0           |                       1 |            200 |        838.513  |
| Matern52_0           |                       1 |            300 |        608.984  |
| Matern52_0           |                       1 |            400 |        481.266  |
| Matern52_0           |                       1 |            500 |        399.75   |
| Matern52_0           |                       1 |            600 |        343.041  |
| Matern52_0           |                       1 |            700 |        301.185  |
| Matern52_0           |                       1 |            800 |        268.931  |
| Matern52_0           |                       1 |            900 |        243.248  |
| Matern52_0           |                       1 |           1000 |        222.456  |
| Cosine_0             |                       1 |              0 |      81123.7    |
| Cosine_0             |                       1 |            100 |      46070.4    |
| Cosine_0             |                       1 |            200 |      33195.2    |
| Cosine_0             |                       1 |            300 |      26616.8    |
| Cosine_0             |                       1 |            400 |      22585.3    |
| Cosine_0             |                       1 |            500 |      19831.2    |
| Cosine_0             |                       1 |            600 |      17810.3    |
| Cosine_0             |                       1 |            700 |      16250.7    |
| Cosine_0             |                       1 |            800 |      15001.2    |
| Cosine_0             |                       1 |            900 |      13971.3    |
| Cosine_0             |                       1 |           1000 |      13111      |
| RQ_0                 |                       1 |              0 |       2511.06   |
| RQ_0                 |                       1 |            100 |        702.003  |
| RQ_0                 |                       1 |            200 |        349.028  |
| RQ_0                 |                       1 |            300 |        226.322  |
| RQ_0                 |                       1 |            400 |        169.388  |
| RQ_0                 |                       1 |            500 |        137.396  |
| RQ_0                 |                       1 |            600 |        116.997  |
| RQ_0                 |                       1 |            700 |        102.822  |
| RQ_0                 |                       1 |            800 |         92.3514 |
| RQ_0                 |                       1 |            900 |         84.2615 |
| RQ_0                 |                       1 |           1000 |         77.8511 |

| Kernel Combination      |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       1 |              0 |        327.844  |
| Periodic_0 + Periodic_0 |                       1 |            100 |        169.114  |
| Periodic_0 + Periodic_0 |                       1 |            200 |        118.956  |
| Periodic_0 + Periodic_0 |                       1 |            300 |         94.4212 |
| Periodic_0 + Periodic_0 |                       1 |            400 |         79.7064 |
| Periodic_0 + Periodic_0 |                       1 |            500 |         69.8086 |
| Periodic_0 + Periodic_0 |                       1 |            600 |         62.6173 |
| Periodic_0 + Periodic_0 |                       1 |            700 |         57.1162 |
| Periodic_0 + Periodic_0 |                       1 |            800 |         52.7465 |
| Periodic_0 + Periodic_0 |                       1 |            900 |         49.1676 |
