| Kernel Combination      |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       1 |              0 |        370.347  |
| Periodic_0 + Periodic_0 |                       1 |            100 |         44.7082 |
| Periodic_0 + Periodic_0 |                       1 |            200 |         32.2705 |
| Periodic_0 + Periodic_0 |                       1 |            300 |         26.5452 |
| Periodic_0 + Periodic_0 |                       1 |            400 |         23.0735 |
| Periodic_0 + Periodic_0 |                       1 |            500 |         20.6971 |
| Periodic_0 * Periodic_0 |                       1 |              0 |        397.164  |
| Periodic_0 * Periodic_0 |                       1 |            100 |         58.1442 |
| Periodic_0 * Periodic_0 |                       1 |            200 |         41.6922 |
| Periodic_0 * Periodic_0 |                       1 |            300 |         34.0748 |
| Periodic_0 * Periodic_0 |                       1 |            400 |         29.4288 |
| Periodic_0 * Periodic_0 |                       1 |            500 |         26.2325 |
| Periodic_0 + RBF_0      |                       1 |              0 |        342.143  |
| Periodic_0 + RBF_0      |                       1 |            100 |         33.1258 |
| Periodic_0 + RBF_0      |                       1 |            200 |         23.0109 |
| Periodic_0 + RBF_0      |                       1 |            300 |         18.4824 |
| Periodic_0 + RBF_0      |                       1 |            400 |         15.8065 |
| Periodic_0 + RBF_0      |                       1 |            500 |         14.0123 |
| Periodic_0 * RBF_0      |                       1 |              0 |        511.08   |
| Periodic_0 * RBF_0      |                       1 |            100 |         62.5146 |
| Periodic_0 * RBF_0      |                       1 |            200 |         43.0632 |
| Periodic_0 * RBF_0      |                       1 |            300 |         34.3903 |
| Periodic_0 * RBF_0      |                       1 |            400 |         29.2058 |
| Periodic_0 * RBF_0      |                       1 |            500 |         25.6814 |
| Periodic_0 + Matern32_0 |                       1 |              0 |        335.668  |
| Periodic_0 + Matern32_0 |                       1 |            100 |         33.2761 |
| Periodic_0 + Matern32_0 |                       1 |            200 |         22.9944 |
| Periodic_0 + Matern32_0 |                       1 |            300 |         18.4278 |
| Periodic_0 + Matern32_0 |                       1 |            400 |         15.7252 |
| Periodic_0 + Matern32_0 |                       1 |            500 |         13.9063 |
| Periodic_0 * Matern32_0 |                       1 |              0 |        509.321  |
| Periodic_0 * Matern32_0 |                       1 |            100 |         63.1647 |
| Periodic_0 * Matern32_0 |                       1 |            200 |         43.0234 |
| Periodic_0 * Matern32_0 |                       1 |            300 |         33.9806 |
| Periodic_0 * Matern32_0 |                       1 |            400 |         28.608  |
