| Kernel Combination                                |   Initialization Number |   Epoch Number |   Training Loss |
|---------------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       240.275   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        33.5582  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        24.593   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        20.4574  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        17.9463  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        16.2265  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       223.843   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        34.8995  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        25.5636  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        21.243   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        18.6111  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        16.8036  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       250.504   |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        39.5633  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        28.8638  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        23.8924  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        20.8537  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        18.763   |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       240.27    |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        38.409   |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        28.1213  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        23.3283  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        20.3934  |
