| Kernel Combination                   |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       298.356   |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        37.8105  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        27.5089  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        22.7642  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        19.8885  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        17.9194  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       269.683   |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        40.9083  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        29.7233  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        24.5492  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        21.3972  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        19.2307  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       363.282   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        55.8291  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        40.2129  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        32.9423  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        28.492   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        25.4233  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |              0 |       221.449   |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            100 |        21.0948  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            200 |        15.0338  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            300 |        12.3013  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            400 |        10.6678  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            500 |         9.56459 |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       276.645   |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        34.2281  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        23.6194  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |        19.027   |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |        16.3182  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |        14.4841  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |       131.469   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        20.9873  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |        15.4016  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            300 |        12.776   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            400 |        11.1171  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            500 |        10.0622  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |              0 |       315.217   |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            100 |        46.3467  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            200 |        32.2722  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            300 |        25.7502  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            400 |        21.8544  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            500 |        19.2432  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |              0 |       209.07    |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            100 |        20.7623  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            200 |        14.8115  |
