| Kernel Combination                        |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic |                       1 |              0 |       235.533   |
| periodic + periodic + periodic + periodic |                       1 |            100 |        33.3677  |
| periodic + periodic + periodic + periodic |                       1 |            200 |        24.4653  |
| periodic + periodic + periodic + periodic |                       1 |            300 |        20.3587  |
| periodic + periodic + periodic + periodic |                       1 |            400 |        17.8637  |
| periodic + periodic + periodic + periodic |                       1 |            500 |        16.154   |
| periodic + periodic + periodic * periodic |                       1 |              0 |       222.943   |
| periodic + periodic + periodic * periodic |                       1 |            100 |        34.5802  |
| periodic + periodic + periodic * periodic |                       1 |            200 |        25.3554  |
| periodic + periodic + periodic * periodic |                       1 |            300 |        21.0834  |
| periodic + periodic + periodic * periodic |                       1 |            400 |        18.4808  |
| periodic + periodic + periodic * periodic |                       1 |            500 |        16.6928  |
| periodic + periodic * periodic * periodic |                       1 |              0 |       248.442   |
| periodic + periodic * periodic * periodic |                       1 |            100 |        39.5089  |
| periodic + periodic * periodic * periodic |                       1 |            200 |        28.8262  |
| periodic + periodic * periodic * periodic |                       1 |            300 |        23.8615  |
| periodic + periodic * periodic * periodic |                       1 |            400 |        20.8275  |
| periodic + periodic * periodic * periodic |                       1 |            500 |        18.739   |
| periodic * periodic + periodic * periodic |                       1 |              0 |       240.022   |
| periodic * periodic + periodic * periodic |                       1 |            100 |        38.2944  |
| periodic * periodic + periodic * periodic |                       1 |            200 |        28.0494  |
| periodic * periodic + periodic * periodic |                       1 |            300 |        23.2755  |
| periodic * periodic + periodic * periodic |                       1 |            400 |        20.3517  |
| periodic * periodic + periodic * periodic |                       1 |            500 |        18.3352  |
| periodic * periodic * periodic * periodic |                       1 |              0 |       339.892   |
| periodic * periodic * periodic * periodic |                       1 |            100 |        53.4676  |
| periodic * periodic * periodic * periodic |                       1 |            200 |        38.7187  |
| periodic * periodic * periodic * periodic |                       1 |            300 |        31.8175  |
| periodic * periodic * periodic * periodic |                       1 |            400 |        27.5768  |
| periodic * periodic * periodic * periodic |                       1 |            500 |        24.6438  |
| periodic + periodic + periodic + RQ       |                       1 |              0 |        99.1213  |
| periodic + periodic + periodic + RQ       |                       1 |            100 |        12.5991  |
