| Kernel Combination                                   |   Initialization Number |   Epoch Number |   Training Loss |
|------------------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic + periodic |                       1 |              0 |       237.422   |
| periodic + periodic + periodic + periodic + periodic |                       1 |            100 |        32.1486  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            200 |        23.6043  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            300 |        19.6663  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            400 |        17.2747  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            500 |        15.6422  |
| periodic + periodic + periodic + periodic * periodic |                       1 |              0 |       205.255   |
| periodic + periodic + periodic + periodic * periodic |                       1 |            100 |        32.2467  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            200 |        23.7086  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            300 |        19.7624  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            400 |        17.362   |
| periodic + periodic + periodic + periodic * periodic |                       1 |            500 |        15.714   |
| periodic + periodic + periodic * periodic * periodic |                       1 |              0 |       214.975   |
| periodic + periodic + periodic * periodic * periodic |                       1 |            100 |        34.0752  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            200 |        25.0431  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            300 |        20.8474  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            400 |        18.2862  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            500 |        16.5249  |
| periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       206.14    |
| periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        33.5097  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        24.6714  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        20.5621  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        18.051   |
| periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        16.3222  |
| periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       240.746   |
| periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        38.5178  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        28.2     |
| periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        23.3911  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        20.4457  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        18.4145  |
| periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       237.34    |
| periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        38.1048  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        27.9289  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        23.1847  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        20.2775  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        18.2716  |
| periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       335.38    |
| periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        52.8086  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        38.2932  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        31.4968  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        27.3173  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        24.4247  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |              0 |        73.1626  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            100 |        10.3311  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            200 |         7.84885 |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            300 |         6.70622 |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            400 |         6.01066 |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            500 |         5.53179 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |              0 |        79.3372  |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            100 |         9.85272 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            200 |         7.11071 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            300 |         5.70131 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            400 |         4.86681 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            500 |         4.29498 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |              0 |        64.5581  |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            100 |        10.8545  |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            200 |         8.27284 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            300 |         7.06669 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            400 |         6.32379 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            500 |         5.80776 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |              0 |        90.9151  |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            100 |        12.7609  |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            200 |         8.95098 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            300 |         7.22666 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            400 |         6.19783 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            500 |         5.4685  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |              0 |        74.0311  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            100 |        13.1381  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            200 |         9.9137  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            300 |         8.398   |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            400 |         7.46068 |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            500 |         6.80804 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |              0 |        79.4224  |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            100 |        13.1307  |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            200 |         9.90476 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            300 |         8.3885  |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            400 |         7.45083 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            500 |         6.79774 |
| periodic + periodic * periodic * periodic * RQ       |                       1 |              0 |       122.359   |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            100 |        18.8541  |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            200 |        13.9705  |
