| Kernel Combination                                              |   Initialization Number |   Epoch Number |   Training Loss |
|-----------------------------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |              0 |       202.537   |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            100 |        30.0313  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            200 |        22.1616  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            300 |        18.5285  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            400 |        16.3219  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            500 |        14.8099  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |              0 |       189.726   |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            100 |        30.2676  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            200 |        22.3465  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            300 |        18.683   |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            400 |        16.4523  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            500 |        14.922   |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |              0 |       194.972   |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            100 |        31.4878  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            200 |        23.2227  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            300 |        19.3909  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            400 |        17.0534  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            500 |        15.4478  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       190.465   |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        30.8161  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        22.7892  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        19.0624  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        16.7863  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        15.2202  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       205.856   |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        33.5223  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        24.6875  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        20.5788  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        18.0666  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        16.3363  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       205.396   |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        33.17    |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        24.4569  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        20.4031  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        17.9238  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        16.2158  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       237.457   |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        38.2174  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        28.0092  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        23.2491  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        20.3321  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        18.319   |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       203.614   |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        33.0369  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        24.366   |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        20.3322  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        17.8647  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        16.165   |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       235.831   |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        37.8906  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        27.7896  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        23.0796  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        20.1928  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        18.2005  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       234.959   |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        37.7598  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        27.7001  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        23.0095  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        20.1346  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        18.1504  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       330.769   |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        51.9027  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        37.6786  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        31.0154  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        26.9164  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        24.0783  |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |              0 |        66.346   |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            100 |         9.19473 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            200 |         7.05245 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            300 |         6.06875 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            400 |         5.4709  |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            500 |         5.05977 |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |              0 |        69.2797  |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            100 |         8.8404  |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            200 |         5.89647 |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            300 |         4.74548 |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            400 |         4.06305 |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            500 |         3.59078 |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |              0 |        54.9595  |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |            100 |         9.26451 |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |            200 |         7.15072 |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |            300 |         6.16409 |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |            400 |         5.5572  |
| periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |            500 |         5.136   |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |              0 |        74.2623  |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |            100 |        10.1564  |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |            200 |         7.95238 |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |            300 |         6.1613  |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |            400 |         5.09759 |
| periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |            500 |         4.29256 |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |              0 |        56.2619  |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |            100 |        10.4722  |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |            200 |         8.03083 |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |            300 |         6.88434 |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |            400 |         6.17568 |
| periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |            500 |         5.68239 |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |              0 |        63.3422  |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |            100 |        10.56    |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |            200 |         8.08076 |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |            300 |         6.91746 |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |            400 |         6.1995  |
| periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |            500 |         5.70029 |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |              0 |        89.0178  |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |            100 |        13.5698  |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |            200 |        10.2404  |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |            300 |         8.67047 |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |            400 |         7.69895 |
| periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |            500 |         7.02209 |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |              0 |        62.4796  |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |            100 |        10.3989  |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |            200 |         7.98053 |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |            300 |         6.84395 |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |            400 |         6.14095 |
| periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |            500 |         5.65111 |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |              0 |        88.2577  |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |            100 |        12.4247  |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |            200 |         8.91723 |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |            300 |         7.26224 |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |            400 |         6.21487 |
| periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |            500 |         5.49074 |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |              0 |        72.822   |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |            100 |        12.9782  |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |            200 |         9.811   |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |            300 |         8.32117 |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |            400 |         7.3989  |
| periodic + periodic * periodic * periodic + periodic * RQ       |                       1 |            500 |         6.75605 |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |              0 |        78.7524  |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |            100 |        13.0406  |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |            200 |         9.84425 |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |            300 |         8.34183 |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |            400 |         7.41265 |
| periodic + periodic * periodic * periodic * periodic + RQ       |                       1 |            500 |         6.76538 |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |              0 |       121.331   |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |            100 |        18.6782  |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |            200 |        13.8461  |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |            300 |        11.5667  |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |            400 |        10.1544  |
| periodic + periodic * periodic * periodic * periodic * RQ       |                       1 |            500 |         9.17047 |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |              0 |        74.1852  |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |            100 |        12.843   |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |            200 |         9.72173 |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |            300 |         8.25242 |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |            400 |         7.342   |
| periodic * periodic + periodic * periodic + periodic * RQ       |                       1 |            500 |         6.70686 |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |              0 |        78.265   |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |            100 |        12.9686  |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |            200 |         9.79128 |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |            300 |         8.2984  |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |            400 |         7.37542 |
| periodic * periodic + periodic * periodic * periodic + RQ       |                       1 |            500 |         6.7327  |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |              0 |       120.118   |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |            100 |        18.5469  |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |            200 |        13.7612  |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |            300 |        11.5059  |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |            400 |        10.1092  |
| periodic * periodic + periodic * periodic * periodic * RQ       |                       1 |            500 |         9.13553 |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |              0 |       109.348   |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |            100 |        18.1235  |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |            200 |        13.459   |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |            300 |        11.2617  |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |            400 |         9.89995 |
| periodic * periodic * periodic + periodic * periodic * RQ       |                       1 |            500 |         8.94966 |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |              0 |       108.848   |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |            100 |        18.0652  |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |            200 |        13.4185  |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |            300 |        11.2285  |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |            400 |         9.87109 |
| periodic * periodic * periodic * periodic + periodic * RQ       |                       1 |            500 |         8.92391 |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |              0 |       110.657   |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |            100 |        18.0925  |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |            200 |        13.4292  |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |            300 |        11.233   |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |            400 |         9.87269 |
| periodic * periodic * periodic * periodic * periodic + RQ       |                       1 |            500 |         8.92388 |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |              0 |       221.49    |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |            100 |        34.1781  |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |            200 |        24.8196  |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |            300 |        20.4084  |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |            400 |        17.6772  |
| periodic * periodic * periodic * periodic * periodic * RQ       |                       1 |            500 |        15.7737  |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |              0 |        86.9466  |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |            100 |        10.2535  |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |            200 |         7.72596 |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |            300 |         6.57658 |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |            400 |         5.88485 |
| periodic + periodic + periodic + periodic + periodic + SE       |                       1 |            500 |         5.41249 |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |              0 |       126.698   |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |            100 |        16.2333  |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |            200 |        11.5393  |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |            300 |         9.34526 |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |            400 |         7.98205 |
| periodic + periodic + periodic + periodic + periodic * SE       |                       1 |            500 |         7.01976 |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |              0 |        49.8713  |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |            100 |         8.46173 |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |            200 |         6.3035  |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |            300 |         5.39676 |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |            400 |         4.67518 |
| periodic + periodic + periodic + periodic * periodic + SE       |                       1 |            500 |         4.23945 |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |              0 |        95.0692  |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |            100 |        14.8358  |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |            200 |        10.8464  |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |            300 |         8.85675 |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |            400 |         7.61748 |
| periodic + periodic + periodic + periodic * periodic * SE       |                       1 |            500 |         6.81467 |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |              0 |        82.429   |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |            100 |        13.996   |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |            200 |        10.4777  |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |            300 |         8.81507 |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |            400 |         7.77096 |
| periodic + periodic + periodic * periodic + periodic * SE       |                       1 |            500 |         7.03454 |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |              0 |        64.7952  |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |            100 |        11.2907  |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |            200 |         8.5701  |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |            300 |         7.26304 |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |            400 |         6.42464 |
| periodic + periodic + periodic * periodic * periodic + SE       |                       1 |            500 |         5.83659 |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |              0 |       109.483   |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |            100 |        17.788   |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |            200 |        13.1136  |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |            300 |        10.8965  |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |            400 |         9.50239 |
| periodic + periodic + periodic * periodic * periodic * SE       |                       1 |            500 |         8.51948 |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |              0 |        62.6916  |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |            100 |        10.9877  |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |            200 |         8.33713 |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |            300 |         7.05412 |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |            400 |         6.25751 |
| periodic + periodic * periodic + periodic * periodic + SE       |                       1 |            500 |         5.72742 |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |              0 |       110.731   |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |            100 |        17.2885  |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |            200 |        12.4104  |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |            300 |        10.0442  |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |            400 |         8.5813  |
| periodic + periodic * periodic + periodic * periodic * SE       |                       1 |            500 |         7.59678 |
| periodic + periodic * periodic * periodic + periodic * SE       |                       1 |              0 |       101.11    |
| periodic + periodic * periodic * periodic + periodic * SE       |                       1 |            100 |        16.9389  |
| periodic + periodic * periodic * periodic + periodic * SE       |                       1 |            200 |        12.4329  |
