| Kernel Combination                                                         |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------------------------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |              0 |       191.954   |
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            100 |        29.0227  |
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            200 |        21.4651  |
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            300 |        17.9738  |
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            400 |        15.8556  |
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            500 |        14.4009  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |              0 |       181.073   |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            100 |        28.8583  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            200 |        21.3685  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            300 |        17.9047  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            400 |        15.7971  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            500 |        14.3512  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |              0 |       181.832   |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            100 |        29.8701  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            200 |        22.0935  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            300 |        18.4889  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            400 |        16.2918  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            500 |        14.7833  |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       180.533   |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        29.3072  |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        21.7273  |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        18.2108  |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        16.065   |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        14.5904  |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       189       |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        31.0308  |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        22.9349  |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        19.175   |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        16.8781  |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        15.2987  |
| periodic + periodic + periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       189.295   |
| periodic + periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        30.7214  |
