| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| periodic + periodic  |                       1 |              0 |       326.977   |
| periodic + periodic  |                       1 |            100 |        43.022   |
| periodic + periodic  |                       1 |            200 |        31.148   |
| periodic + periodic  |                       1 |            300 |        25.6698  |
| periodic + periodic  |                       1 |            400 |        22.3413  |
| periodic + periodic  |                       1 |            500 |        20.0586  |
| periodic * periodic  |                       1 |              0 |       386.25    |
| periodic * periodic  |                       1 |            100 |        57.3574  |
| periodic * periodic  |                       1 |            200 |        41.182   |
| periodic * periodic  |                       1 |            300 |        33.6835  |
| periodic * periodic  |                       1 |            400 |        29.1059  |
| periodic * periodic  |                       1 |            500 |        25.9549  |
| periodic + RQ        |                       1 |              0 |       146.818   |
| periodic + RQ        |                       1 |            100 |        20.4929  |
| periodic + RQ        |                       1 |            200 |        15.0139  |
| periodic + RQ        |                       1 |            300 |        12.4661  |
| periodic + RQ        |                       1 |            400 |        10.9027  |
| periodic + RQ        |                       1 |            500 |         9.81961 |
| periodic * RQ        |                       1 |              0 |       247.535   |
| periodic * RQ        |                       1 |            100 |        36.1556  |
| periodic * RQ        |                       1 |            200 |        25.7385  |
| periodic * RQ        |                       1 |            300 |        20.5875  |
| periodic * RQ        |                       1 |            400 |        17.4872  |
| periodic * RQ        |                       1 |            500 |        15.3795  |
| periodic + SE        |                       1 |              0 |       395.666   |
| periodic + SE        |                       1 |            100 |        35.1257  |
| periodic + SE        |                       1 |            200 |        24.3203  |
| periodic + SE        |                       1 |            300 |        19.492   |
| periodic + SE        |                       1 |            400 |        16.6302  |
| periodic + SE        |                       1 |            500 |        14.7157  |
| periodic * SE        |                       1 |              0 |       540.333   |
| periodic * SE        |                       1 |            100 |        64.5808  |
| periodic * SE        |                       1 |            200 |        44.2611  |
| periodic * SE        |                       1 |            300 |        35.2796  |
| periodic * SE        |                       1 |            400 |        29.9333  |
| periodic * SE        |                       1 |            500 |        26.3077  |
| RQ + RQ              |                       1 |              0 |       108.76    |
| RQ + RQ              |                       1 |            100 |        17.9907  |
| RQ + RQ              |                       1 |            200 |        13.3521  |
| RQ + RQ              |                       1 |            300 |        11.1697  |
| RQ + RQ              |                       1 |            400 |         9.81911 |
| RQ + RQ              |                       1 |            500 |         8.87774 |
| RQ * RQ              |                       1 |              0 |       217.906   |
| RQ * RQ              |                       1 |            100 |        33.7149  |
| RQ * RQ              |                       1 |            200 |        24.4897  |
| RQ * RQ              |                       1 |            300 |        20.1404  |
| RQ * RQ              |                       1 |            400 |        17.4469  |
| RQ * RQ              |                       1 |            500 |        15.5692  |
| RQ + SE              |                       1 |              0 |       193.086   |
| RQ + SE              |                       1 |            100 |        25.3129  |
| RQ + SE              |                       1 |            200 |        17.9302  |
| RQ + SE              |                       1 |            300 |        14.6253  |
| RQ + SE              |                       1 |            400 |        12.6495  |
| RQ + SE              |                       1 |            500 |        11.2911  |
| RQ * SE              |                       1 |              0 |       386.618   |
| RQ * SE              |                       1 |            100 |        52.9061  |
| RQ * SE              |                       1 |            200 |        36.8957  |
| RQ * SE              |                       1 |            300 |        29.3061  |
| RQ * SE              |                       1 |            400 |        24.6552  |
| RQ * SE              |                       1 |            500 |        21.486   |
| SE + SE              |                       1 |              0 |      1285.35    |
| SE + SE              |                       1 |            100 |        82.1425  |
| SE + SE              |                       1 |            200 |        53.5387  |
| SE + SE              |                       1 |            300 |        41.1948  |
| SE + SE              |                       1 |            400 |        34.1086  |
| SE + SE              |                       1 |            500 |        29.4796  |
| SE * SE              |                       1 |              0 |       712.44    |
| SE * SE              |                       1 |            100 |        81.8291  |
| SE * SE              |                       1 |            200 |        55       |
