| Kernel Combination             |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic |                       1 |              0 |       261.262   |
| periodic + periodic + periodic |                       1 |            100 |        36.376   |
| periodic + periodic + periodic |                       1 |            200 |        26.5543  |
| periodic + periodic + periodic |                       1 |            300 |        22.0213  |
| periodic + periodic + periodic |                       1 |            400 |        19.2656  |
| periodic + periodic + periodic |                       1 |            500 |        17.3773  |
| periodic + periodic * periodic |                       1 |              0 |       262.65    |
| periodic + periodic * periodic |                       1 |            100 |        40.4063  |
| periodic + periodic * periodic |                       1 |            200 |        29.398   |
| periodic + periodic * periodic |                       1 |            300 |        24.2999  |
| periodic + periodic * periodic |                       1 |            400 |        21.1916  |
| periodic + periodic * periodic |                       1 |            500 |        19.0541  |
| periodic * periodic * periodic |                       1 |              0 |       358.771   |
| periodic * periodic * periodic |                       1 |            100 |        55.3811  |
| periodic * periodic * periodic |                       1 |            200 |        39.9276  |
| periodic * periodic * periodic |                       1 |            300 |        32.7264  |
| periodic * periodic * periodic |                       1 |            400 |        28.3154  |
| periodic * periodic * periodic |                       1 |            500 |        25.2724  |
| periodic + periodic + RQ       |                       1 |              0 |       114.674   |
| periodic + periodic + RQ       |                       1 |            100 |        15.2761  |
| periodic + periodic + RQ       |                       1 |            200 |        11.3173  |
| periodic + periodic + RQ       |                       1 |            300 |         9.48574 |
| periodic + periodic + RQ       |                       1 |            400 |         8.36691 |
| periodic + periodic + RQ       |                       1 |            500 |         7.59447 |
| periodic + periodic * RQ       |                       1 |              0 |       133.799   |
| periodic + periodic * RQ       |                       1 |            100 |        18.7235  |
| periodic + periodic * RQ       |                       1 |            200 |        13.236   |
| periodic + periodic * RQ       |                       1 |            300 |        10.7074  |
| periodic + periodic * RQ       |                       1 |            400 |         9.16641 |
| periodic + periodic * RQ       |                       1 |            500 |         8.08928 |
| periodic * periodic + RQ       |                       1 |              0 |       113.228   |
| periodic * periodic + RQ       |                       1 |            100 |        18.6949  |
| periodic * periodic + RQ       |                       1 |            200 |        13.8269  |
| periodic * periodic + RQ       |                       1 |            300 |        11.5395  |
| periodic * periodic + RQ       |                       1 |            400 |        10.1252  |
| periodic * periodic + RQ       |                       1 |            500 |         9.14031 |
| periodic * periodic * RQ       |                       1 |              0 |       231.595   |
| periodic * periodic * RQ       |                       1 |            100 |        35.4613  |
| periodic * periodic * RQ       |                       1 |            200 |        25.6564  |
| periodic * periodic * RQ       |                       1 |            300 |        21.0438  |
| periodic * periodic * RQ       |                       1 |            400 |        18.1942  |
| periodic * periodic * RQ       |                       1 |            500 |        16.2124  |
| periodic + periodic + SE       |                       1 |              0 |       188.471   |
| periodic + periodic + SE       |                       1 |            100 |        19.8701  |
| periodic + periodic + SE       |                       1 |            200 |        14.2286  |
| periodic + periodic + SE       |                       1 |            300 |        11.6779  |
| periodic + periodic + SE       |                       1 |            400 |        10.1534  |
| periodic + periodic + SE       |                       1 |            500 |         9.12209 |
| periodic + periodic * SE       |                       1 |              0 |       261.798   |
| periodic + periodic * SE       |                       1 |            100 |        32.761   |
| periodic + periodic * SE       |                       1 |            200 |        22.735   |
| periodic + periodic * SE       |                       1 |            300 |        18.3316  |
| periodic + periodic * SE       |                       1 |            400 |        15.7003  |
| periodic + periodic * SE       |                       1 |            500 |        13.8939  |
| periodic * periodic + SE       |                       1 |              0 |       128.723   |
| periodic * periodic + SE       |                       1 |            100 |        21.0175  |
| periodic * periodic + SE       |                       1 |            200 |        15.4358  |
| periodic * periodic + SE       |                       1 |            300 |        12.8269  |
| periodic * periodic + SE       |                       1 |            400 |        11.2223  |
| periodic * periodic + SE       |                       1 |            500 |        10.1121  |
| periodic * periodic * SE       |                       1 |              0 |       277.822   |
| periodic * periodic * SE       |                       1 |            100 |        41.4573  |
| periodic * periodic * SE       |                       1 |            200 |        29.3525  |
| periodic * periodic * SE       |                       1 |            300 |        23.745   |
| periodic * periodic * SE       |                       1 |            400 |        20.3457  |
| periodic * periodic * SE       |                       1 |            500 |        18.0251  |
| periodic + RQ + RQ             |                       1 |              0 |        90.5977  |
| periodic + RQ + RQ             |                       1 |            100 |        13.8758  |
| periodic + RQ + RQ             |                       1 |            200 |        10.4018  |
| periodic + RQ + RQ             |                       1 |            300 |         8.78011 |
| periodic + RQ + RQ             |                       1 |            400 |         7.78185 |
| periodic + RQ + RQ             |                       1 |            500 |         7.08877 |
| periodic + RQ * RQ             |                       1 |              0 |       119.842   |
| periodic + RQ * RQ             |                       1 |            100 |        17.6921  |
| periodic + RQ * RQ             |                       1 |            200 |        12.5555  |
| periodic + RQ * RQ             |                       1 |            300 |        10.2291  |
| periodic + RQ * RQ             |                       1 |            400 |         8.78111 |
| periodic + RQ * RQ             |                       1 |            500 |         7.75235 |
| periodic * RQ + RQ             |                       1 |              0 |       109.327   |
| periodic * RQ + RQ             |                       1 |            100 |        18.3371  |
| periodic * RQ + RQ             |                       1 |            200 |        13.5922  |
| periodic * RQ + RQ             |                       1 |            300 |        11.3604  |
| periodic * RQ + RQ             |                       1 |            400 |         9.97905 |
| periodic * RQ + RQ             |                       1 |            500 |         9.01612 |
| periodic * RQ * RQ             |                       1 |              0 |       224.442   |
| periodic * RQ * RQ             |                       1 |            100 |        34.5966  |
| periodic * RQ * RQ             |                       1 |            200 |        25.0786  |
| periodic * RQ * RQ             |                       1 |            300 |        20.5966  |
| periodic * RQ * RQ             |                       1 |            400 |        17.8244  |
| periodic * RQ * RQ             |                       1 |            500 |        15.8942  |
| periodic + RQ + SE             |                       1 |              0 |       132.358   |
| periodic + RQ + SE             |                       1 |            100 |        17.0324  |
| periodic + RQ + SE             |                       1 |            200 |        12.3715  |
| periodic + RQ + SE             |                       1 |            300 |        10.2553  |
| periodic + RQ + SE             |                       1 |            400 |         8.98565 |
| periodic + RQ + SE             |                       1 |            500 |         8.11896 |
| periodic + RQ * SE             |                       1 |              0 |       227.277   |
| periodic + RQ * SE             |                       1 |            100 |        30.1247  |
| periodic + RQ * SE             |                       1 |            200 |        21.1824  |
| periodic + RQ * SE             |                       1 |            300 |        17.0473  |
| periodic + RQ * SE             |                       1 |            400 |        14.5009  |
| periodic + RQ * SE             |                       1 |            500 |        12.7485  |
| periodic * RQ + SE             |                       1 |              0 |       129.028   |
