| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0           |                       1 |              0 |        484.525  |
| Periodic_0           |                       1 |            100 |        247.558  |
| Periodic_0           |                       1 |            200 |        173.236  |
| Periodic_0           |                       1 |            300 |        136.989  |
| Periodic_0           |                       1 |            400 |        115.276  |
| Periodic_0           |                       1 |            500 |        100.668  |
| Periodic_0           |                       1 |            600 |         90.0695 |
| Periodic_0           |                       1 |            700 |         81.9675 |
| Periodic_0           |                       1 |            800 |         75.5327 |
| Periodic_0           |                       1 |            900 |         70.2675 |
| Periodic_0           |                       1 |           1000 |         65.899  |
| Periodic_0           |                       2 |              0 |        559.077  |
| Periodic_0           |                       2 |            100 |        271.224  |
| Periodic_0           |                       2 |            200 |        186.85   |
| Periodic_0           |                       2 |            300 |        146.639  |
| Periodic_0           |                       2 |            400 |        122.817  |
| Periodic_0           |                       2 |            500 |        106.892  |
| Periodic_0           |                       2 |            600 |         95.3915 |
| Periodic_0           |                       2 |            700 |         86.6343 |
| Periodic_0           |                       2 |            800 |         79.6954 |
| Periodic_0           |                       2 |            900 |         74.0341 |
| Periodic_0           |                       2 |           1000 |         69.3452 |
| Periodic_0           |                       3 |              0 |        491.735  |
| Periodic_0           |                       3 |            100 |        248.221  |
| Periodic_0           |                       3 |            200 |        173.403  |
| Periodic_0           |                       3 |            300 |        137.006  |
| Periodic_0           |                       3 |            400 |        115.229  |
| Periodic_0           |                       3 |            500 |        100.584  |
| Periodic_0           |                       3 |            600 |         89.9668 |
| Periodic_0           |                       3 |            700 |         81.8559 |
| Periodic_0           |                       3 |            800 |         75.4136 |
| Periodic_0           |                       3 |            900 |         70.1451 |
| Periodic_0           |                       3 |           1000 |         65.7748 |
| Periodic_0           |                       4 |              0 |        521.775  |
| Periodic_0           |                       4 |            100 |        259.46   |
| Periodic_0           |                       4 |            200 |        180.14   |
| Periodic_0           |                       4 |            300 |        141.899  |
| Periodic_0           |                       4 |            400 |        119.121  |
| Periodic_0           |                       4 |            500 |        103.844  |
| Periodic_0           |                       4 |            600 |         92.7895 |
| Periodic_0           |                       4 |            700 |         84.3523 |
| Periodic_0           |                       4 |            800 |         77.6609 |
| Periodic_0           |                       4 |            900 |         72.1932 |
| Periodic_0           |                       4 |           1000 |         67.6613 |
| Periodic_0           |                       5 |              0 |        578.457  |
| Periodic_0           |                       5 |            100 |        277.22   |
| Periodic_0           |                       5 |            200 |        190.219  |
| Periodic_0           |                       5 |            300 |        148.989  |
| Periodic_0           |                       5 |            400 |        124.636  |
| Periodic_0           |                       5 |            500 |        108.382  |
| Periodic_0           |                       5 |            600 |         96.661  |
| Periodic_0           |                       5 |            700 |         87.7432 |
| Periodic_0           |                       5 |            800 |         80.6828 |
| Periodic_0           |                       5 |            900 |         74.9227 |
| Periodic_0           |                       5 |           1000 |         70.1592 |
| Periodic_0           |                       6 |              0 |        523.269  |
| Periodic_0           |                       6 |            100 |        259.974  |
| Periodic_0           |                       6 |            200 |        180.455  |
| Periodic_0           |                       6 |            300 |        142.138  |
| Periodic_0           |                       6 |            400 |        119.313  |
| Periodic_0           |                       6 |            500 |        104.007  |
| Periodic_0           |                       6 |            600 |         92.9291 |
| Periodic_0           |                       6 |            700 |         84.4778 |
| Periodic_0           |                       6 |            800 |         77.764  |
| Periodic_0           |                       6 |            900 |         72.2854 |
| Periodic_0           |                       6 |           1000 |         67.7477 |
| Periodic_0           |                       7 |              0 |        484.618  |
| Periodic_0           |                       7 |            100 |        247.633  |
| Periodic_0           |                       7 |            200 |        173.291  |
| Periodic_0           |                       7 |            300 |        137.032  |
| Periodic_0           |                       7 |            400 |        115.315  |
| Periodic_0           |                       7 |            500 |        100.7    |
| Periodic_0           |                       7 |            600 |         90.0982 |
| Periodic_0           |                       7 |            700 |         81.9947 |
| Periodic_0           |                       7 |            800 |         75.5572 |
| Periodic_0           |                       7 |            900 |         70.2892 |
| Periodic_0           |                       7 |           1000 |         65.9201 |
| Periodic_0           |                       8 |              0 |        598.337  |
| Periodic_0           |                       8 |            100 |        283.377  |
| Periodic_0           |                       8 |            200 |        193.63   |
| Periodic_0           |                       8 |            300 |        151.357  |
| Periodic_0           |                       8 |            400 |        126.462  |
| Periodic_0           |                       8 |            500 |        109.875  |
| Periodic_0           |                       8 |            600 |         97.9312 |
| Periodic_0           |                       8 |            700 |         88.8512 |
| Periodic_0           |                       8 |            800 |         81.6672 |
| Periodic_0           |                       8 |            900 |         75.8125 |
| Periodic_0           |                       8 |           1000 |         70.9707 |
| Periodic_0           |                       9 |              0 |        543.165  |
| Periodic_0           |                       9 |            100 |        266.226  |
| Periodic_0           |                       9 |            200 |        184.027  |
| Periodic_0           |                       9 |            300 |        144.656  |
| Periodic_0           |                       9 |            400 |        121.275  |
| Periodic_0           |                       9 |            500 |        105.624  |
| Periodic_0           |                       9 |            600 |         94.3085 |
| Periodic_0           |                       9 |            700 |         85.6875 |
| Periodic_0           |                       9 |            800 |         78.853  |
| Periodic_0           |                       9 |            900 |         73.2716 |
| Periodic_0           |                       9 |           1000 |         68.648  |
| Periodic_0           |                      10 |              0 |        481.746  |
| Periodic_0           |                      10 |            100 |        244.974  |
| Periodic_0           |                      10 |            200 |        171.509  |
| Periodic_0           |                      10 |            300 |        135.652  |
| Periodic_0           |                      10 |            400 |        114.167  |
| Periodic_0           |                      10 |            500 |         99.7045 |
| Periodic_0           |                      10 |            600 |         89.2125 |
| Periodic_0           |                      10 |            700 |         81.1937 |
| Periodic_0           |                      10 |            800 |         74.8231 |
| Periodic_0           |                      10 |            900 |         69.6091 |
| Periodic_0           |                      10 |           1000 |         65.2839 |
| RBF_0                |                       1 |              0 |       2463.55   |
| RBF_0                |                       1 |            100 |        989.674  |
| RBF_0                |                       1 |            200 |        622.248  |
| RBF_0                |                       1 |            300 |        459.329  |
| RBF_0                |                       1 |            400 |        367.096  |
| RBF_0                |                       1 |            500 |        307.5    |
| RBF_0                |                       1 |            600 |        265.648  |
| RBF_0                |                       1 |            700 |        234.524  |
| RBF_0                |                       1 |            800 |        210.39   |
| RBF_0                |                       1 |            900 |        191.07   |
| RBF_0                |                       1 |           1000 |        175.354  |
| RBF_0                |                       2 |              0 |       3387.68   |
| RBF_0                |                       2 |            100 |       1281.89   |
| RBF_0                |                       2 |            200 |        786.399  |
| RBF_0                |                       2 |            300 |        572.342  |
| RBF_0                |                       2 |            400 |        453.018  |
| RBF_0                |                       2 |            500 |        376.755  |
| RBF_0                |                       2 |            600 |        323.644  |
| RBF_0                |                       2 |            700 |        284.41   |
| RBF_0                |                       2 |            800 |        254.153  |
| RBF_0                |                       2 |            900 |        230.045  |
| RBF_0                |                       2 |           1000 |        210.517  |
| RBF_0                |                       3 |              0 |       2727.09   |
