| Kernel Combination      |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       1 |              0 |        373.971  |
| Periodic_0 + Periodic_0 |                       1 |            100 |        183.563  |
| Periodic_0 + Periodic_0 |                       1 |            200 |        127.094  |
| Periodic_0 + Periodic_0 |                       1 |            300 |        100.133  |
| Periodic_0 + Periodic_0 |                       1 |            400 |         84.144  |
| Periodic_0 + Periodic_0 |                       1 |            500 |         73.4458 |
| Periodic_0 + Periodic_0 |                       1 |            600 |         65.7212 |
| Periodic_0 + Periodic_0 |                       1 |            700 |         59.833  |
| Periodic_0 + Periodic_0 |                       1 |            800 |         55.1679 |
| Periodic_0 + Periodic_0 |                       1 |            900 |         51.3571 |
| Periodic_0 + Periodic_0 |                       1 |           1000 |         48.2    |
| Periodic_0 + Periodic_0 |                       2 |              0 |        325.38   |
| Periodic_0 + Periodic_0 |                       2 |            100 |        168.335  |
| Periodic_0 + Periodic_0 |                       2 |            200 |        118.49   |
| Periodic_0 + Periodic_0 |                       2 |            300 |         94.0923 |
| Periodic_0 + Periodic_0 |                       2 |            400 |         79.4509 |
| Periodic_0 + Periodic_0 |                       2 |            500 |         69.5893 |
| Periodic_0 + Periodic_0 |                       2 |            600 |         62.4276 |
| Periodic_0 + Periodic_0 |                       2 |            700 |         56.9514 |
| Periodic_0 + Periodic_0 |                       2 |            800 |         52.5972 |
| Periodic_0 + Periodic_0 |                       2 |            900 |         49.0347 |
| Periodic_0 + Periodic_0 |                       2 |           1000 |         46.0772 |
| Periodic_0 + Periodic_0 |                       3 |              0 |        316.573  |
| Periodic_0 + Periodic_0 |                       3 |            100 |        165.538  |
| Periodic_0 + Periodic_0 |                       3 |            200 |        116.875  |
| Periodic_0 + Periodic_0 |                       3 |            300 |         92.9446 |
| Periodic_0 + Periodic_0 |                       3 |            400 |         78.5537 |
| Periodic_0 + Periodic_0 |                       3 |            500 |         68.8466 |
| Periodic_0 + Periodic_0 |                       3 |            600 |         61.7932 |
| Periodic_0 + Periodic_0 |                       3 |            700 |         56.394  |
| Periodic_0 + Periodic_0 |                       3 |            800 |         52.1023 |
| Periodic_0 + Periodic_0 |                       3 |            900 |         48.5859 |
| Periodic_0 + Periodic_0 |                       3 |           1000 |         45.6663 |
| Periodic_0 + Periodic_0 |                       4 |              0 |        348.762  |
| Periodic_0 + Periodic_0 |                       4 |            100 |        175.724  |
| Periodic_0 + Periodic_0 |                       4 |            200 |        122.718  |
| Periodic_0 + Periodic_0 |                       4 |            300 |         97.085  |
| Periodic_0 + Periodic_0 |                       4 |            400 |         81.7867 |
| Periodic_0 + Periodic_0 |                       4 |            500 |         71.5143 |
| Periodic_0 + Periodic_0 |                       4 |            600 |         64.0754 |
| Periodic_0 + Periodic_0 |                       4 |            700 |         58.3936 |
| Periodic_0 + Periodic_0 |                       4 |            800 |         53.8854 |
| Periodic_0 + Periodic_0 |                       4 |            900 |         50.1969 |
| Periodic_0 + Periodic_0 |                       4 |           1000 |         47.1441 |
| Periodic_0 + Periodic_0 |                       5 |              0 |        319.068  |
| Periodic_0 + Periodic_0 |                       5 |            100 |        166.369  |
| Periodic_0 + Periodic_0 |                       5 |            200 |        117.349  |
| Periodic_0 + Periodic_0 |                       5 |            300 |         93.2845 |
| Periodic_0 + Periodic_0 |                       5 |            400 |         78.822  |
| Periodic_0 + Periodic_0 |                       5 |            500 |         69.0664 |
| Periodic_0 + Periodic_0 |                       5 |            600 |         61.983  |
| Periodic_0 + Periodic_0 |                       5 |            700 |         56.5665 |
| Periodic_0 + Periodic_0 |                       5 |            800 |         52.2504 |
| Periodic_0 + Periodic_0 |                       5 |            900 |         48.7214 |
| Periodic_0 + Periodic_0 |                       5 |           1000 |         45.7885 |
