| Kernel Combination      |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       1 |              0 |       362.292   |
| Periodic_0 + Periodic_0 |                       1 |            100 |        43.8501  |
| Periodic_0 + Periodic_0 |                       1 |            200 |        31.6651  |
| Periodic_0 + Periodic_0 |                       1 |            300 |        26.0541  |
| Periodic_0 + Periodic_0 |                       1 |            400 |        22.652   |
| Periodic_0 + Periodic_0 |                       1 |            500 |        20.3225  |
| Periodic_0 * Periodic_0 |                       1 |              0 |       391.843   |
| Periodic_0 * Periodic_0 |                       1 |            100 |        57.4213  |
| Periodic_0 * Periodic_0 |                       1 |            200 |        41.1791  |
| Periodic_0 * Periodic_0 |                       1 |            300 |        33.6582  |
| Periodic_0 * Periodic_0 |                       1 |            400 |        29.0706  |
| Periodic_0 * Periodic_0 |                       1 |            500 |        25.9144  |
| Periodic_0 + RBF_0      |                       1 |              0 |       221.709   |
| Periodic_0 + RBF_0      |                       1 |            100 |        24.4931  |
| Periodic_0 + RBF_0      |                       1 |            200 |        17.4714  |
| Periodic_0 + RBF_0      |                       1 |            300 |        14.4073  |
| Periodic_0 + RBF_0      |                       1 |            400 |        12.6257  |
| Periodic_0 + RBF_0      |                       1 |            500 |        11.4129  |
| Periodic_0 * RBF_0      |                       1 |              0 |       264.777   |
| Periodic_0 * RBF_0      |                       1 |            100 |        38.3581  |
| Periodic_0 * RBF_0      |                       1 |            200 |        27.6298  |
| Periodic_0 * RBF_0      |                       1 |            300 |        22.6281  |
| Periodic_0 * RBF_0      |                       1 |            400 |        19.5602  |
| Periodic_0 * RBF_0      |                       1 |            500 |        17.4392  |
| Periodic_0 + Matern32_0 |                       1 |              0 |       226.37    |
| Periodic_0 + Matern32_0 |                       1 |            100 |        23.7038  |
| Periodic_0 + Matern32_0 |                       1 |            200 |        17.1702  |
| Periodic_0 + Matern32_0 |                       1 |            300 |        14.1765  |
| Periodic_0 + Matern32_0 |                       1 |            400 |        12.3637  |
| Periodic_0 + Matern32_0 |                       1 |            500 |        11.1197  |
| Periodic_0 * Matern32_0 |                       1 |              0 |       270.602   |
| Periodic_0 * Matern32_0 |                       1 |            100 |        36.7677  |
| Periodic_0 * Matern32_0 |                       1 |            200 |        26.4393  |
| Periodic_0 * Matern32_0 |                       1 |            300 |        21.6093  |
| Periodic_0 * Matern32_0 |                       1 |            400 |        18.6474  |
| Periodic_0 * Matern32_0 |                       1 |            500 |        16.6008  |
| Periodic_0 + Matern52_0 |                       1 |              0 |       220.834   |
| Periodic_0 + Matern52_0 |                       1 |            100 |        23.8028  |
| Periodic_0 + Matern52_0 |                       1 |            200 |        17.2929  |
| Periodic_0 + Matern52_0 |                       1 |            300 |        14.2994  |
| Periodic_0 + Matern52_0 |                       1 |            400 |        12.4861  |
| Periodic_0 + Matern52_0 |                       1 |            500 |        11.2432  |
| Periodic_0 * Matern52_0 |                       1 |              0 |       276.467   |
| Periodic_0 * Matern52_0 |                       1 |            100 |        38.7827  |
| Periodic_0 * Matern52_0 |                       1 |            200 |        27.9211  |
| Periodic_0 * Matern52_0 |                       1 |            300 |        22.8728  |
| Periodic_0 * Matern52_0 |                       1 |            400 |        19.7244  |
| Periodic_0 * Matern52_0 |                       1 |            500 |        17.5935  |
| Periodic_0 + Cosine_0   |                       1 |              0 |       531.114   |
| Periodic_0 + Cosine_0   |                       1 |            100 |        58.5988  |
| Periodic_0 + Cosine_0   |                       1 |            200 |        41.7968  |
| Periodic_0 + Cosine_0   |                       1 |            300 |        34.0457  |
| Periodic_0 + Cosine_0   |                       1 |            400 |        29.3408  |
| Periodic_0 + Cosine_0   |                       1 |            500 |        26.1151  |
| Periodic_0 * Cosine_0   |                       1 |              0 |      7260.51    |
| Periodic_0 * Cosine_0   |                       1 |            100 |       181.469   |
| Periodic_0 * Cosine_0   |                       1 |            200 |       140.785   |
| Periodic_0 * Cosine_0   |                       1 |            300 |       118.329   |
| Periodic_0 * Cosine_0   |                       1 |            400 |       103.186   |
| Periodic_0 * Cosine_0   |                       1 |            500 |        92.1977  |
| Periodic_0 + RQ_0       |                       1 |              0 |       183.568   |
| Periodic_0 + RQ_0       |                       1 |            100 |        21.6595  |
| Periodic_0 + RQ_0       |                       1 |            200 |        15.8372  |
| Periodic_0 + RQ_0       |                       1 |            300 |        13.1256  |
| Periodic_0 + RQ_0       |                       1 |            400 |        11.4652  |
| Periodic_0 + RQ_0       |                       1 |            500 |        10.3173  |
| Periodic_0 * RQ_0       |                       1 |              0 |       250.791   |
| Periodic_0 * RQ_0       |                       1 |            100 |        35.2419  |
| Periodic_0 * RQ_0       |                       1 |            200 |        25.4644  |
| Periodic_0 * RQ_0       |                       1 |            300 |        20.9673  |
| Periodic_0 * RQ_0       |                       1 |            400 |        18.1837  |
| Periodic_0 * RQ_0       |                       1 |            500 |        16.2364  |
| RBF_0 + RBF_0           |                       1 |              0 |       194.916   |
| RBF_0 + RBF_0           |                       1 |            100 |        23.9151  |
| RBF_0 + RBF_0           |                       1 |            200 |        16.3985  |
| RBF_0 + RBF_0           |                       1 |            300 |        13.5142  |
| RBF_0 + RBF_0           |                       1 |            400 |        11.8766  |
| RBF_0 + RBF_0           |                       1 |            500 |        10.7679  |
| RBF_0 * RBF_0           |                       1 |              0 |       232.483   |
| RBF_0 * RBF_0           |                       1 |            100 |        34.9961  |
| RBF_0 * RBF_0           |                       1 |            200 |        25.4472  |
| RBF_0 * RBF_0           |                       1 |            300 |        20.9663  |
| RBF_0 * RBF_0           |                       1 |            400 |        18.2002  |
| RBF_0 * RBF_0           |                       1 |            500 |        16.2778  |
