| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0           |                       1 |              0 |        477.198  |
| Periodic_0           |                       1 |            100 |         60.4646 |
| Periodic_0           |                       1 |            200 |         43.2428 |
| Periodic_0           |                       1 |            300 |         35.2886 |
| Periodic_0           |                       1 |            400 |         30.4492 |
| Periodic_0           |                       1 |            500 |         27.1258 |
| RBF_0                |                       1 |              0 |        448.242  |
| RBF_0                |                       1 |            100 |         45.4358 |
| RBF_0                |                       1 |            200 |         30.824  |
| RBF_0                |                       1 |            300 |         25.0273 |
| RBF_0                |                       1 |            400 |         21.6454 |
| RBF_0                |                       1 |            500 |         19.3454 |
| Matern32_0           |                       1 |              0 |        449.903  |
| Matern32_0           |                       1 |            100 |         44.521  |
| Matern32_0           |                       1 |            200 |         31.4849 |
| Matern32_0           |                       1 |            300 |         25.5289 |
| Matern32_0           |                       1 |            400 |         21.9379 |
| Matern32_0           |                       1 |            500 |         19.4871 |
| Matern52_0           |                       1 |              0 |        386.41   |
| Matern52_0           |                       1 |            100 |         42.6297 |
| Matern52_0           |                       1 |            200 |         30.1029 |
| Matern52_0           |                       1 |            300 |         24.3762 |
| Matern52_0           |                       1 |            400 |         20.959  |
| Matern52_0           |                       1 |            500 |         18.65   |
| Cosine_0             |                       1 |              0 |      80585.9    |
| Cosine_0             |                       1 |            100 |      11896.9    |
| Cosine_0             |                       1 |            200 |       8402.06   |
| Cosine_0             |                       1 |            300 |       6749.35   |
| Cosine_0             |                       1 |            400 |       5724.08   |
| Cosine_0             |                       1 |            500 |       5008.94   |
| RQ_0                 |                       1 |              0 |        392.869  |
| RQ_0                 |                       1 |            100 |         38.3711 |
| RQ_0                 |                       1 |            200 |         28.0171 |
| RQ_0                 |                       1 |            300 |         23.0734 |
| RQ_0                 |                       1 |            400 |         20.0031 |
| RQ_0                 |                       1 |            500 |         17.8638 |

| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0 + RQ_0    |                       1 |              0 |       189.073   |
| Periodic_0 + RQ_0    |                       1 |            100 |        21.8204  |
| Periodic_0 + RQ_0    |                       1 |            200 |        15.9543  |
| Periodic_0 + RQ_0    |                       1 |            300 |        13.2207  |
| Periodic_0 + RQ_0    |                       1 |            400 |        11.5469  |
| Periodic_0 + RQ_0    |                       1 |            500 |        10.3898  |
| Periodic_0 * RQ_0    |                       1 |              0 |       251.357   |
| Periodic_0 * RQ_0    |                       1 |            100 |        35.2735  |
| Periodic_0 * RQ_0    |                       1 |            200 |        25.4839  |
| Periodic_0 * RQ_0    |                       1 |            300 |        20.9827  |
| Periodic_0 * RQ_0    |                       1 |            400 |        18.1976  |
| Periodic_0 * RQ_0    |                       1 |            500 |        16.2496  |
| RBF_0 + RQ_0         |                       1 |              0 |       199.993   |
| RBF_0 + RQ_0         |                       1 |            100 |        20.9244  |
| RBF_0 + RQ_0         |                       1 |            200 |        15.385   |
| RBF_0 + RQ_0         |                       1 |            300 |        12.8312  |
| RBF_0 + RQ_0         |                       1 |            400 |        11.2607  |
| RBF_0 + RQ_0         |                       1 |            500 |        10.1694  |
| RBF_0 * RQ_0         |                       1 |              0 |       220.162   |
| RBF_0 * RQ_0         |                       1 |            100 |        33.7965  |
| RBF_0 * RQ_0         |                       1 |            200 |        24.5426  |
| RBF_0 * RQ_0         |                       1 |            300 |        20.1852  |
| RBF_0 * RQ_0         |                       1 |            400 |        17.4886  |
| RBF_0 * RQ_0         |                       1 |            500 |        15.6094  |
| Matern32_0 + RQ_0    |                       1 |              0 |       189.591   |
| Matern32_0 + RQ_0    |                       1 |            100 |        20.8222  |
| Matern32_0 + RQ_0    |                       1 |            200 |        15.3103  |
| Matern32_0 + RQ_0    |                       1 |            300 |        12.7663  |
| Matern32_0 + RQ_0    |                       1 |            400 |        11.2034  |
| Matern32_0 + RQ_0    |                       1 |            500 |        10.1166  |
| Matern32_0 * RQ_0    |                       1 |              0 |       225.573   |
| Matern32_0 * RQ_0    |                       1 |            100 |        34.1757  |
| Matern32_0 * RQ_0    |                       1 |            200 |        24.7771  |
| Matern32_0 * RQ_0    |                       1 |            300 |        20.3654  |
| Matern32_0 * RQ_0    |                       1 |            400 |        17.6398  |
| Matern32_0 * RQ_0    |                       1 |            500 |        15.7427  |
| Matern52_0 + RQ_0    |                       1 |              0 |       181.31    |
| Matern52_0 + RQ_0    |                       1 |            100 |        20.515   |
