| Kernel Combination                                |   Initialization Number |   Epoch Number |   Training Loss |
|---------------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       247.311   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        33.1367  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        24.2813  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        20.1966  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        17.7173  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        16.019   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       219.904   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        34.2743  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        25.1082  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        20.8683  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        18.2861  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        16.5131  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       246.498   |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        38.9357  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        28.4095  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        23.5185  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        20.5304  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        18.4735  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       235.869   |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        37.7704  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        27.6618  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        22.952   |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        20.0679  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        18.0794  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       336.423   |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        52.8647  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        38.2862  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        31.4639  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        27.2714  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        24.3718  |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |              0 |       100.168   |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            100 |        12.882   |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            200 |         9.62346 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            300 |         8.12162 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            400 |         7.20647 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            500 |         6.5759  |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       125.697   |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        14.8378  |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        11.1343  |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |         9.38117 |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |         8.30276 |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |         7.55591 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |        76.8289  |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        12.9063  |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |         9.76692 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            300 |         8.29549 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            400 |         7.38543 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            500 |         6.7504  |
