| Kernel Combination                   |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       287.811   |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        36.1005  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        26.2961  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        21.781   |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        19.0428  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        17.1683  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       259.062   |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        39.4155  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        28.663   |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        23.6881  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        20.6568  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        18.5739  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       354.285   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        54.5122  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        39.2762  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        32.181   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        27.8372  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        24.8414  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |              0 |       155.311   |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            100 |        17.3832  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            200 |        12.7999  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            300 |        10.6801  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            400 |         9.37793 |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            500 |         8.47366 |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       180.502   |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        20.9296  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        15.3901  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |        12.7822  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |        11.182   |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |        10.0761  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |       110.489   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        18.0707  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |        13.435   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            300 |        11.254   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            400 |         9.90286 |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            500 |         8.9593  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |              0 |       218.345   |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            100 |        34.0424  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            200 |        24.6645  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            300 |        20.2693  |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            400 |        17.56    |
| Periodic_0 * Periodic_0 * RBF_0      |                       1 |            500 |        15.6785  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |              0 |       134.572   |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            100 |        16.0392  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            200 |        11.8756  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            300 |         9.95134 |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            400 |         8.7753  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            500 |         7.96188 |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |              0 |       142.637   |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            100 |        19.7539  |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            200 |        14.5264  |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            300 |        12.083   |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            400 |        10.583   |
| Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            500 |         9.54471 |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |              0 |       110.013   |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            100 |        18.0515  |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            200 |        13.4209  |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            300 |        11.2419  |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            400 |         9.89179 |
| Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            500 |         8.94893 |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |              0 |       218.144   |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            100 |        34.0484  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            200 |        24.6638  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            300 |        20.2662  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            400 |        17.5559  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            500 |        15.6738  |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |              0 |       124.127   |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            100 |        15.8534  |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            200 |        11.7565  |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            300 |         9.85111 |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            400 |         8.68216 |
| Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            500 |         7.87236 |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |              0 |       151.665   |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            100 |        19.9739  |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            200 |        14.7012  |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            300 |        12.2301  |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            400 |        10.7126  |
| Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            500 |         9.66235 |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |              0 |       109.958   |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            100 |        18.0475  |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            200 |        13.4189  |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            300 |        11.2402  |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            400 |         9.89013 |
| Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            500 |         8.94733 |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |              0 |       218.213   |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            100 |        34.0298  |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            200 |        24.6551  |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            300 |        20.2619  |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            400 |        17.554   |
| Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            500 |        15.6734  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |              0 |       328.216   |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            100 |        40.2592  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            200 |        29.1067  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            300 |        23.9707  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            400 |        20.8561  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            500 |        18.7233  |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |              0 |     80019.9     |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            100 |     10433       |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            200 |      7390.2     |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            300 |      5942.29    |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            400 |      5043.2     |
| Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            500 |      4415.81    |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |              0 |      1305.34    |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            100 |        88.2527  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            200 |        60.9071  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            300 |        48.7938  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            400 |        41.6129  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            500 |        36.7705  |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |              0 |     80445.1     |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |            100 |     10475       |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |            200 |      7403.68    |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |            300 |      5949.27    |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |            400 |      5047.23    |
| Periodic_0 * Periodic_0 * Cosine_0   |                       1 |            500 |      4418.18    |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |              0 |       144.798   |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |            100 |        16.3146  |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |            200 |        12.0395  |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |            300 |        10.0614  |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |            400 |         8.85646 |
| Periodic_0 + Periodic_0 + RQ_0       |                       1 |            500 |         8.02672 |
