| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0           |                       1 |              0 |        562.909  |
| Periodic_0           |                       1 |            100 |         63.3826 |
| Periodic_0           |                       1 |            200 |         45.1506 |
| Periodic_0           |                       1 |            300 |         36.758  |
| Periodic_0           |                       1 |            400 |         31.6689 |
| Periodic_0           |                       1 |            500 |         28.1824 |
| RBF_0                |                       1 |              0 |        461.473  |
| RBF_0                |                       1 |            100 |         46.2006 |
| RBF_0                |                       1 |            200 |         31.1764 |
| RBF_0                |                       1 |            300 |         25.2485 |
| RBF_0                |                       1 |            400 |         21.8192 |
| RBF_0                |                       1 |            500 |         19.4946 |
| Matern32_0           |                       1 |              0 |        394.042  |
| Matern32_0           |                       1 |            100 |         42.3819 |
| Matern32_0           |                       1 |            200 |         30.087  |
| Matern32_0           |                       1 |            300 |         24.4538 |
| Matern32_0           |                       1 |            400 |         21.0489 |
| Matern32_0           |                       1 |            500 |         18.7208 |
| Matern52_0           |                       1 |              0 |        398.191  |
| Matern52_0           |                       1 |            100 |         43.1218 |
| Matern52_0           |                       1 |            200 |         30.443  |
| Matern52_0           |                       1 |            300 |         24.6321 |
| Matern52_0           |                       1 |            400 |         21.1612 |
| Matern52_0           |                       1 |            500 |         18.8172 |
| Cosine_0             |                       1 |              0 |      75788.3    |
| Cosine_0             |                       1 |            100 |      11172.1    |
| Cosine_0             |                       1 |            200 |       7890.41   |
| Cosine_0             |                       1 |            300 |       6338.35   |
| Cosine_0             |                       1 |            400 |       5375.51   |
| Cosine_0             |                       1 |            500 |       4703.87   |
| RQ_0                 |                       1 |              0 |        326.457  |
| RQ_0                 |                       1 |            100 |         36.7229 |
| RQ_0                 |                       1 |            200 |         26.761  |
| RQ_0                 |                       1 |            300 |         22.022  |
| RQ_0                 |                       1 |            400 |         19.0864 |
| RQ_0                 |                       1 |            500 |         17.0421 |
| Linear_0             |                       1 |              0 |      81021.8    |
| Linear_0             |                       1 |            100 |      12228.7    |
| Linear_0             |                       1 |            200 |       8635.8    |
| Linear_0             |                       1 |            300 |       6936.67   |
| Linear_0             |                       1 |            400 |       5882.52   |
| Linear_0             |                       1 |            500 |       5147.15   |

| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| Periodic_0 + RQ_0    |                       1 |              0 |       193.332   |
| Periodic_0 + RQ_0    |                       1 |            100 |        21.8517  |
| Periodic_0 + RQ_0    |                       1 |            200 |        16.0129  |
| Periodic_0 + RQ_0    |                       1 |            300 |        13.2769  |
| Periodic_0 + RQ_0    |                       1 |            400 |        11.5991  |
| Periodic_0 + RQ_0    |                       1 |            500 |        10.4384  |
| Periodic_0 * RQ_0    |                       1 |              0 |       250.242   |
| Periodic_0 * RQ_0    |                       1 |            100 |        35.2057  |
| Periodic_0 * RQ_0    |                       1 |            200 |        25.4456  |
| Periodic_0 * RQ_0    |                       1 |            300 |        20.9532  |
| Periodic_0 * RQ_0    |                       1 |            400 |        18.1715  |
| Periodic_0 * RQ_0    |                       1 |            500 |        16.2252  |
| RBF_0 + RQ_0         |                       1 |              0 |       235.4     |
| RBF_0 + RQ_0         |                       1 |            100 |        21.9088  |
| RBF_0 + RQ_0         |                       1 |            200 |        16.0524  |
| RBF_0 + RQ_0         |                       1 |            300 |        13.3695  |
| RBF_0 + RQ_0         |                       1 |            400 |        11.7256  |
| RBF_0 + RQ_0         |                       1 |            500 |        10.5857  |
| RBF_0 * RQ_0         |                       1 |              0 |       221.387   |
| RBF_0 * RQ_0         |                       1 |            100 |        33.85    |
| RBF_0 * RQ_0         |                       1 |            200 |        24.5778  |
| RBF_0 * RQ_0         |                       1 |            300 |        20.2124  |
| RBF_0 * RQ_0         |                       1 |            400 |        17.5113  |
| RBF_0 * RQ_0         |                       1 |            500 |        15.6293  |
| Matern32_0 + RQ_0    |                       1 |              0 |       181.51    |
| Matern32_0 + RQ_0    |                       1 |            100 |        20.5916  |
| Matern32_0 + RQ_0    |                       1 |            200 |        15.1497  |
| Matern32_0 + RQ_0    |                       1 |            300 |        12.6353  |
| Matern32_0 + RQ_0    |                       1 |            400 |        11.0899  |
| Matern32_0 + RQ_0    |                       1 |            500 |        10.0148  |
| Matern32_0 * RQ_0    |                       1 |              0 |       224.933   |
| Matern32_0 * RQ_0    |                       1 |            100 |        34.1421  |
| Matern32_0 * RQ_0    |                       1 |            200 |        24.7558  |
| Matern32_0 * RQ_0    |                       1 |            300 |        20.3487  |
| Matern32_0 * RQ_0    |                       1 |            400 |        17.6256  |
| Matern32_0 * RQ_0    |                       1 |            500 |        15.7301  |
| Matern52_0 + RQ_0    |                       1 |              0 |       189.429   |
| Matern52_0 + RQ_0    |                       1 |            100 |        20.8217  |
| Matern52_0 + RQ_0    |                       1 |            200 |        15.2986  |
| Matern52_0 + RQ_0    |                       1 |            300 |        12.7393  |
| Matern52_0 + RQ_0    |                       1 |            400 |        11.167   |
| Matern52_0 + RQ_0    |                       1 |            500 |        10.0761  |
| Matern52_0 * RQ_0    |                       1 |              0 |       222.402   |
| Matern52_0 * RQ_0    |                       1 |            100 |        33.9475  |
| Matern52_0 * RQ_0    |                       1 |            200 |        24.6377  |
| Matern52_0 * RQ_0    |                       1 |            300 |        20.258   |
| Matern52_0 * RQ_0    |                       1 |            400 |        17.5494  |
| Matern52_0 * RQ_0    |                       1 |            500 |        15.6627  |
| Cosine_0 + RQ_0      |                       1 |              0 |       376.263   |
| Cosine_0 + RQ_0      |                       1 |            100 |        37.6902  |
| Cosine_0 + RQ_0      |                       1 |            200 |        27.5309  |
| Cosine_0 + RQ_0      |                       1 |            300 |        22.6777  |
| Cosine_0 + RQ_0      |                       1 |            400 |        19.6074  |
| Cosine_0 + RQ_0      |                       1 |            500 |        17.124   |
| Cosine_0 * RQ_0      |                       1 |              0 |      6924.65    |
| Cosine_0 * RQ_0      |                       1 |            100 |       147.607   |
| Cosine_0 * RQ_0      |                       1 |            200 |       106.081   |
| Cosine_0 * RQ_0      |                       1 |            300 |        84.552   |
| Cosine_0 * RQ_0      |                       1 |            400 |        71.1256  |
| Cosine_0 * RQ_0      |                       1 |            500 |        61.947   |
| RQ_0 + RQ_0          |                       1 |              0 |       178.257   |
| RQ_0 + RQ_0          |                       1 |            100 |        19.8927  |
| RQ_0 + RQ_0          |                       1 |            200 |        14.7918  |
| RQ_0 + RQ_0          |                       1 |            300 |        12.3648  |
| RQ_0 + RQ_0          |                       1 |            400 |        10.8608  |
| RQ_0 + RQ_0          |                       1 |            500 |         9.81282 |
| RQ_0 * RQ_0          |                       1 |              0 |       217.193   |
| RQ_0 * RQ_0          |                       1 |            100 |        33.5703  |
| RQ_0 * RQ_0          |                       1 |            200 |        24.4039  |
| RQ_0 * RQ_0          |                       1 |            300 |        20.0837  |
| RQ_0 * RQ_0          |                       1 |            400 |        17.4073  |
| RQ_0 * RQ_0          |                       1 |            500 |        15.5404  |
| Linear_0 + RQ_0      |                       1 |              0 |       327.847   |
| Linear_0 + RQ_0      |                       1 |            100 |        34.8923  |
| Linear_0 + RQ_0      |                       1 |            200 |        25.1256  |
| Linear_0 + RQ_0      |                       1 |            300 |        20.5985  |
| Linear_0 + RQ_0      |                       1 |            400 |        17.8279  |
| Linear_0 + RQ_0      |                       1 |            500 |        15.9111  |
| Linear_0 * RQ_0      |                       1 |              0 |     22533.6     |
| Linear_0 * RQ_0      |                       1 |            100 |      1109.77    |
| Linear_0 * RQ_0      |                       1 |            200 |       761.654   |
| Linear_0 * RQ_0      |                       1 |            300 |       613.891   |
| Linear_0 * RQ_0      |                       1 |            400 |       521.574   |
| Linear_0 * RQ_0      |                       1 |            500 |       456.913   |
| RQ_0 + RQ_0          |                       1 |              0 |       197.122   |
| RQ_0 + RQ_0          |                       1 |            100 |        20.3336  |
| RQ_0 + RQ_0          |                       1 |            200 |        15.1696  |
| RQ_0 + RQ_0          |                       1 |            300 |        12.6877  |
| RQ_0 + RQ_0          |                       1 |            400 |        11.1452  |
| RQ_0 + RQ_0          |                       1 |            500 |        10.0697  |
| RQ_0 * RQ_0          |                       1 |              0 |       217.139   |
| RQ_0 * RQ_0          |                       1 |            100 |        33.5685  |
| RQ_0 * RQ_0          |                       1 |            200 |        24.4027  |
| RQ_0 * RQ_0          |                       1 |            300 |        20.0827  |
| RQ_0 * RQ_0          |                       1 |            400 |        17.4064  |
| RQ_0 * RQ_0          |                       1 |            500 |        15.5396  |

| Kernel Combination       |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + RQ_0 + RQ_0 |                       1 |              0 |       113.999   |
| Periodic_0 + RQ_0 + RQ_0 |                       1 |            100 |        14.5108  |
| Periodic_0 + RQ_0 + RQ_0 |                       1 |            200 |        10.8756  |
| Periodic_0 + RQ_0 + RQ_0 |                       1 |            300 |         9.16818 |
| Periodic_0 + RQ_0 + RQ_0 |                       1 |            400 |         8.11753 |
| Periodic_0 + RQ_0 + RQ_0 |                       1 |            500 |         7.38874 |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |              0 |       124.662   |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |            100 |        18.6923  |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |            200 |        13.8393  |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |            300 |        11.5835  |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |            400 |        10.1821  |
| Periodic_0 * RQ_0 + RQ_0 |                       1 |            500 |         9.20299 |
| RBF_0 + RQ_0 + RQ_0      |                       1 |              0 |       138.996   |
| RBF_0 + RQ_0 + RQ_0      |                       1 |            100 |        14.6286  |
| RBF_0 + RQ_0 + RQ_0      |                       1 |            200 |        11.0292  |
| RBF_0 + RQ_0 + RQ_0      |                       1 |            300 |         9.33657 |
| RBF_0 + RQ_0 + RQ_0      |                       1 |            400 |         8.2873  |
| RBF_0 + RQ_0 + RQ_0      |                       1 |            500 |         7.55571 |
| RBF_0 * RQ_0 + RQ_0      |                       1 |              0 |       114.462   |
| RBF_0 * RQ_0 + RQ_0      |                       1 |            100 |        18.1986  |
| RBF_0 * RQ_0 + RQ_0      |                       1 |            200 |        13.5028  |
| RBF_0 * RQ_0 + RQ_0      |                       1 |            300 |        11.2942  |
| RBF_0 * RQ_0 + RQ_0      |                       1 |            400 |         9.92751 |
| RBF_0 * RQ_0 + RQ_0      |                       1 |            500 |         8.97491 |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |              0 |       139.757   |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |            100 |        14.7759  |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |            200 |        11.0607  |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |            300 |         9.3499  |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |            400 |         8.29958 |
| Matern32_0 + RQ_0 + RQ_0 |                       1 |            500 |         7.56891 |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |              0 |       119.023   |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |            100 |        18.5054  |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |            200 |        13.6913  |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |            300 |        11.4391  |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |            400 |        10.0495  |
| Matern32_0 * RQ_0 + RQ_0 |                       1 |            500 |         9.08241 |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |              0 |       115.065   |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |            100 |        14.0527  |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |            200 |        10.6006  |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |            300 |         8.97872 |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |            400 |         7.97301 |
| Matern52_0 + RQ_0 + RQ_0 |                       1 |            500 |         7.27159 |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |              0 |       115.274   |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |            100 |        18.264   |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |            200 |        13.5428  |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |            300 |        11.325   |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |            400 |         9.9535  |
| Matern52_0 * RQ_0 + RQ_0 |                       1 |            500 |         8.99789 |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |              0 |       156.067   |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |            100 |        19.2569  |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |            200 |        14.3283  |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |            300 |        11.7166  |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |            400 |         9.74191 |
| Cosine_0 + RQ_0 + RQ_0   |                       1 |            500 |         7.59021 |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |              0 |       149.983   |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |            100 |        20.3761  |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |            200 |        14.8068  |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |            300 |        12.2454  |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |            400 |        10.69    |
| Cosine_0 * RQ_0 + RQ_0   |                       1 |            500 |         9.62167 |
| RQ_0 + RQ_0 + RQ_0       |                       1 |              0 |       110.176   |
| RQ_0 + RQ_0 + RQ_0       |                       1 |            100 |        13.7706  |
| RQ_0 + RQ_0 + RQ_0       |                       1 |            200 |        10.4204  |
| RQ_0 + RQ_0 + RQ_0       |                       1 |            300 |         8.82993 |
| RQ_0 + RQ_0 + RQ_0       |                       1 |            400 |         7.84502 |
| RQ_0 + RQ_0 + RQ_0       |                       1 |            500 |         7.15871 |
| RQ_0 * RQ_0 + RQ_0       |                       1 |              0 |       111.21    |
| RQ_0 * RQ_0 + RQ_0       |                       1 |            100 |        18.0025  |
| RQ_0 * RQ_0 + RQ_0       |                       1 |            200 |        13.3762  |
| RQ_0 * RQ_0 + RQ_0       |                       1 |            300 |        11.1959  |
| RQ_0 * RQ_0 + RQ_0       |                       1 |            400 |         9.84449 |
| RQ_0 * RQ_0 + RQ_0       |                       1 |            500 |         8.90144 |
| Linear_0 + RQ_0 + RQ_0   |                       1 |              0 |       194.462   |
| Linear_0 + RQ_0 + RQ_0   |                       1 |            100 |        19.3437  |
| Linear_0 + RQ_0 + RQ_0   |                       1 |            200 |        14.2225  |
| Linear_0 + RQ_0 + RQ_0   |                       1 |            300 |        11.8628  |
| Linear_0 + RQ_0 + RQ_0   |                       1 |            400 |        10.4209  |
| Linear_0 + RQ_0 + RQ_0   |                       1 |            500 |         9.4236  |
| Linear_0 * RQ_0 + RQ_0   |                       1 |              0 |     17973.3     |
| Linear_0 * RQ_0 + RQ_0   |                       1 |            100 |       871.948   |
| Linear_0 * RQ_0 + RQ_0   |                       1 |            200 |       602.893   |
| Linear_0 * RQ_0 + RQ_0   |                       1 |            300 |       487.411   |
| Linear_0 * RQ_0 + RQ_0   |                       1 |            400 |       414.46    |
| Linear_0 * RQ_0 + RQ_0   |                       1 |            500 |       363.175   |

| Kernel Combination              |   Initialization Number |   Epoch Number |   Training Loss |
|---------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |        98.2854  |
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        11.6811  |
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |         8.90741 |
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         7.59598 |
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         6.78803 |
| Periodic_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.22736 |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |        86.0793  |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        13.3175  |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |        10.0436  |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         8.51862 |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         7.57024 |
| Periodic_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.9076  |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |              0 |        88.4329  |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |            100 |        11.0599  |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |            200 |         8.51277 |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |            300 |         7.29702 |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |            400 |         6.54216 |
| RBF_0 + RQ_0 + RQ_0 + RQ_0      |                       1 |            500 |         6.01593 |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |              0 |        77.8503  |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |            100 |        12.8971  |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |            200 |         9.75292 |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |            300 |         8.27555 |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |            400 |         7.36154 |
| RBF_0 * RQ_0 + RQ_0 + RQ_0      |                       1 |            500 |         6.72454 |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |       104.445   |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        11.5083  |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |         8.7954  |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         7.5319  |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         6.75066 |
| Matern32_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.20553 |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |        82.2128  |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        13.1772  |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |         9.92659 |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         8.40937 |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         7.47411 |
| Matern32_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.82369 |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |        89.0888  |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        11.0925  |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |         8.52335 |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         7.30746 |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         6.55197 |
| Matern52_0 + RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.02475 |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |              0 |        79.745   |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            100 |        13.0081  |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            200 |         9.82362 |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            300 |         8.33087 |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            400 |         7.40851 |
| Matern52_0 * RQ_0 + RQ_0 + RQ_0 |                       1 |            500 |         6.76617 |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |              0 |       111.382   |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |            100 |        13.7543  |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |            200 |        10.4299  |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |            300 |         8.80435 |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |            400 |         7.46597 |
| Cosine_0 + RQ_0 + RQ_0 + RQ_0   |                       1 |            500 |         6.39907 |
| Cosine_0 * RQ_0 + RQ_0 + RQ_0   |                       1 |              0 |       187.416   |
| Cosine_0 * RQ_0 + RQ_0 + RQ_0   |                       1 |            100 |        17.844   |
| Cosine_0 * RQ_0 + RQ_0 + RQ_0   |                       1 |            200 |        12.883   |
| Cosine_0 * RQ_0 + RQ_0 + RQ_0   |                       1 |            300 |        10.6142  |
