| Kernel Combination      |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       1 |              0 |       309.229   |
| Periodic_0 + Periodic_0 |                       1 |            100 |        41.0394  |
| Periodic_0 + Periodic_0 |                       1 |            200 |        29.7619  |
| Periodic_0 + Periodic_0 |                       1 |            300 |        24.5556  |
| Periodic_0 + Periodic_0 |                       1 |            400 |        21.3899  |
| Periodic_0 + Periodic_0 |                       1 |            500 |        19.2178  |
| Periodic_0 * Periodic_0 |                       1 |              0 |       373.418   |
| Periodic_0 * Periodic_0 |                       1 |            100 |        55.7254  |
| Periodic_0 * Periodic_0 |                       1 |            200 |        40.0422  |
| Periodic_0 * Periodic_0 |                       1 |            300 |        32.7667  |
| Periodic_0 * Periodic_0 |                       1 |            400 |        28.3228  |
| Periodic_0 * Periodic_0 |                       1 |            500 |        25.2624  |
| Periodic_0 + RBF_0      |                       1 |              0 |       219.052   |
| Periodic_0 + RBF_0      |                       1 |            100 |        24.2376  |
| Periodic_0 + RBF_0      |                       1 |            200 |        17.311   |
| Periodic_0 + RBF_0      |                       1 |            300 |        14.3318  |
| Periodic_0 + RBF_0      |                       1 |            400 |        12.5705  |
| Periodic_0 + RBF_0      |                       1 |            500 |        11.3627  |
| Periodic_0 * RBF_0      |                       1 |              0 |       263.187   |
| Periodic_0 * RBF_0      |                       1 |            100 |        35.7477  |
| Periodic_0 * RBF_0      |                       1 |            200 |        25.7843  |
| Periodic_0 * RBF_0      |                       1 |            300 |        21.1047  |
| Periodic_0 * RBF_0      |                       1 |            400 |        18.229   |
| Periodic_0 * RBF_0      |                       1 |            500 |        16.2395  |
| Periodic_0 + Matern32_0 |                       1 |              0 |       215.616   |
| Periodic_0 + Matern32_0 |                       1 |            100 |        23.3545  |
| Periodic_0 + Matern32_0 |                       1 |            200 |        16.9434  |
| Periodic_0 + Matern32_0 |                       1 |            300 |        14.0022  |
| Periodic_0 + Matern32_0 |                       1 |            400 |        12.2189  |
| Periodic_0 + Matern32_0 |                       1 |            500 |        10.9938  |
| Periodic_0 * Matern32_0 |                       1 |              0 |       268.43    |
| Periodic_0 * Matern32_0 |                       1 |            100 |        36.6471  |
| Periodic_0 * Matern32_0 |                       1 |            200 |        26.3583  |
| Periodic_0 * Matern32_0 |                       1 |            300 |        21.5464  |
| Periodic_0 * Matern32_0 |                       1 |            400 |        18.5953  |
| Periodic_0 * Matern32_0 |                       1 |            500 |        16.5561  |
| Periodic_0 + Matern52_0 |                       1 |              0 |       231.783   |
| Periodic_0 + Matern52_0 |                       1 |            100 |        24.1355  |
| Periodic_0 + Matern52_0 |                       1 |            200 |        17.5104  |
| Periodic_0 + Matern52_0 |                       1 |            300 |        14.4663  |
| Periodic_0 + Matern52_0 |                       1 |            400 |        12.6242  |
| Periodic_0 + Matern52_0 |                       1 |            500 |        11.3629  |
