| Kernel Combination                   |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       290.223   |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        36.8189  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        26.8088  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        22.1983  |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        19.402   |
| Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        17.4875  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       431.901   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        61.1005  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        43.5353  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        35.4451  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        30.5302  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        27.1596  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |              0 |       162.228   |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            100 |        17.6646  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            200 |        12.9832  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            300 |        10.8176  |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            400 |         9.49019 |
| Periodic_0 + Periodic_0 + RBF_0      |                       1 |            500 |         8.57258 |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       183.101   |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        21.0033  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        15.4842  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |        12.8659  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |        11.2559  |
| Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |        10.1423  |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |       110.455   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        18.073   |
| Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |        13.4368  |
