| Kernel Combination                                |   Initialization Number |   Epoch Number |   Training Loss |
|---------------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |              0 |       244.551   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            100 |        33.0689  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            200 |        24.233   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            300 |        20.158   |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            400 |        17.6844  |
| Periodic_0 + Periodic_0 + Periodic_0 + Periodic_0 |                       1 |            500 |        15.99    |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       219.794   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        34.2663  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        25.103   |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        20.8644  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        18.2829  |
| Periodic_0 + Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        16.5103  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       246.445   |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        38.9303  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        28.4062  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        23.5161  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        20.5283  |
| Periodic_0 + Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        18.4718  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |              0 |       235.855   |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            100 |        37.7687  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            200 |        27.6607  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            300 |        22.9511  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            400 |        20.0673  |
| Periodic_0 * Periodic_0 + Periodic_0 * Periodic_0 |                       1 |            500 |        18.0788  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |              0 |       336.401   |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            100 |        52.8619  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            200 |        38.2844  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            300 |        31.4625  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            400 |        27.2703  |
| Periodic_0 * Periodic_0 * Periodic_0 * Periodic_0 |                       1 |            500 |        24.3708  |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |              0 |       109.434   |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            100 |        13.2885  |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            200 |         9.89258 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            300 |         8.33223 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            400 |         7.38365 |
| Periodic_0 + Periodic_0 + Periodic_0 + RBF_0      |                       1 |            500 |         6.73111 |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       127.933   |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        14.897   |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        11.2068  |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |         9.44489 |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |         8.35857 |
| Periodic_0 + Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |         7.60572 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |        76.9404  |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        12.9183  |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |         9.77449 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            300 |         8.30142 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            400 |         7.39066 |
| Periodic_0 + Periodic_0 * Periodic_0 + RBF_0      |                       1 |            500 |         6.75536 |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |              0 |       111.237   |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |            100 |        18.2054  |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |            200 |        13.5049  |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |            300 |        11.302   |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |            400 |         9.94244 |
| Periodic_0 + Periodic_0 * Periodic_0 * RBF_0      |                       1 |            500 |         8.9963  |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |              0 |       108.413   |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |            100 |        17.991   |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |            200 |        13.345   |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |            300 |        11.1597  |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |            400 |         9.81333 |
| Periodic_0 * Periodic_0 + Periodic_0 * RBF_0      |                       1 |            500 |         8.87567 |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |              0 |       109.187   |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |            100 |        17.9555  |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |            200 |        13.3317  |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |            300 |        11.1581  |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |            400 |         9.81304 |
| Periodic_0 * Periodic_0 * Periodic_0 + RBF_0      |                       1 |            500 |         8.87507 |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |              0 |       217.556   |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |            100 |        33.7239  |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |            200 |        24.4862  |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |            300 |        20.1443  |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |            400 |        17.4621  |
| Periodic_0 * Periodic_0 * Periodic_0 * RBF_0      |                       1 |            500 |        15.5957  |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |              0 |       123.649   |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            100 |        13.5031  |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            200 |        10.0643  |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            300 |         8.47908 |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            400 |         7.51442 |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern32_0 |                       1 |            500 |         6.8504  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |              0 |       104.35    |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            100 |        14.3299  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            200 |        10.6943  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            300 |         9.00322 |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            400 |         7.96757 |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            500 |         7.25144 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |              0 |        77.1766  |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            100 |        12.9328  |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            200 |         9.78121 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            300 |         8.30547 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            400 |         7.39358 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            500 |         6.7578  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |              0 |       111.442   |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            100 |        18.2316  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            200 |        13.5177  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            300 |        11.3091  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            400 |         9.94641 |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            500 |         8.99844 |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |              0 |       108.386   |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            100 |        17.9905  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            200 |        13.3547  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            300 |        11.1641  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            400 |         9.81327 |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern32_0 |                       1 |            500 |         8.87373 |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |              0 |       109.233   |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            100 |        17.965   |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            200 |        13.3395  |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            300 |        11.159   |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            400 |         9.81012 |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern32_0 |                       1 |            500 |         8.87048 |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |              0 |       218.127   |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            100 |        33.786   |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            200 |        24.5259  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            300 |        20.1717  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            400 |        17.4818  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern32_0 |                       1 |            500 |        15.6105  |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |              0 |       105.237   |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            100 |        12.9307  |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            200 |         9.67105 |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            300 |         8.16341 |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            400 |         7.24422 |
| Periodic_0 + Periodic_0 + Periodic_0 + Matern52_0 |                       1 |            500 |         6.61079 |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |              0 |       110.013   |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            100 |        14.4162  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            200 |        10.7805  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            300 |         9.0823  |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            400 |         8.04082 |
| Periodic_0 + Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            500 |         7.32014 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |              0 |        76.9253  |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            100 |        12.9141  |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            200 |         9.77099 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            300 |         8.29837 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            400 |         7.38793 |
| Periodic_0 + Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            500 |         6.75288 |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |              0 |       111.355   |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            100 |        18.2138  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            200 |        13.5087  |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            300 |        11.304   |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            400 |         9.94342 |
| Periodic_0 + Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            500 |         8.99669 |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |              0 |       108.393   |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            100 |        17.9876  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            200 |        13.3412  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            300 |        11.1591  |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            400 |         9.81341 |
| Periodic_0 * Periodic_0 + Periodic_0 * Matern52_0 |                       1 |            500 |         8.87585 |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |              0 |       109.265   |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            100 |        17.9624  |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            200 |        13.3358  |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            300 |        11.1592  |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            400 |         9.81286 |
| Periodic_0 * Periodic_0 * Periodic_0 + Matern52_0 |                       1 |            500 |         8.87436 |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |              0 |       217.779   |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            100 |        33.747   |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            200 |        24.5013  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            300 |        20.1543  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            400 |        17.4688  |
| Periodic_0 * Periodic_0 * Periodic_0 * Matern52_0 |                       1 |            500 |        15.6003  |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |              0 |       240.35    |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            100 |        31.0235  |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            200 |        22.6995  |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            300 |        18.8629  |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            400 |        16.534   |
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0   |                       1 |            500 |        14.9385  |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |              0 |      2443.32    |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            100 |        65.0471  |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            200 |        50.8012  |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            300 |        43.1038  |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            400 |        37.8301  |
| Periodic_0 + Periodic_0 + Periodic_0 * Cosine_0   |                       1 |            500 |        33.9465  |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |              0 |       499.15    |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            100 |        46.3447  |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            200 |        32.8373  |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            300 |        26.7926  |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            400 |        23.1616  |
| Periodic_0 + Periodic_0 * Periodic_0 + Cosine_0   |                       1 |            500 |        20.694   |
