| Kernel Combination                        |   Initialization Number |   Epoch Number |   Training Loss |
|-------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic |                       1 |              0 |       223.466   |
| periodic + periodic + periodic + periodic |                       1 |            100 |        32.3039  |
| periodic + periodic + periodic + periodic |                       1 |            200 |        23.7227  |
| periodic + periodic + periodic + periodic |                       1 |            300 |        19.7604  |
| periodic + periodic + periodic + periodic |                       1 |            400 |        17.3517  |
| periodic + periodic + periodic + periodic |                       1 |            500 |        15.7004  |
| periodic + periodic + periodic * periodic |                       1 |              0 |       216.376   |
| periodic + periodic + periodic * periodic |                       1 |            100 |        34.0121  |
| periodic + periodic + periodic * periodic |                       1 |            200 |        24.9389  |
| periodic + periodic + periodic * periodic |                       1 |            300 |        20.7389  |
| periodic + periodic + periodic * periodic |                       1 |            400 |        18.1795  |
| periodic + periodic + periodic * periodic |                       1 |            500 |        16.4215  |
| periodic + periodic * periodic * periodic |                       1 |              0 |       244.705   |
| periodic + periodic * periodic * periodic |                       1 |            100 |        38.7581  |
| periodic + periodic * periodic * periodic |                       1 |            200 |        28.2967  |
| periodic + periodic * periodic * periodic |                       1 |            300 |        23.4333  |
| periodic + periodic * periodic * periodic |                       1 |            400 |        20.4608  |
| periodic + periodic * periodic * periodic |                       1 |            500 |        18.4141  |
| periodic * periodic + periodic * periodic |                       1 |              0 |       235.371   |
| periodic * periodic + periodic * periodic |                       1 |            100 |        37.7129  |
| periodic * periodic + periodic * periodic |                       1 |            200 |        27.6249  |
| periodic * periodic + periodic * periodic |                       1 |            300 |        22.924   |
| periodic * periodic + periodic * periodic |                       1 |            400 |        20.0453  |
| periodic * periodic + periodic * periodic |                       1 |            500 |        18.0601  |
| periodic * periodic * periodic * periodic |                       1 |              0 |       335.64    |
| periodic * periodic * periodic * periodic |                       1 |            100 |        52.7606  |
| periodic * periodic * periodic * periodic |                       1 |            200 |        38.2178  |
| periodic * periodic * periodic * periodic |                       1 |            300 |        31.4117  |
| periodic * periodic * periodic * periodic |                       1 |            400 |        27.2288  |
| periodic * periodic * periodic * periodic |                       1 |            500 |        24.3355  |
| periodic + periodic + periodic + RQ       |                       1 |              0 |        91.8074  |
| periodic + periodic + periodic + RQ       |                       1 |            100 |        12.1803  |
| periodic + periodic + periodic + RQ       |                       1 |            200 |         9.15047 |
| periodic + periodic + periodic + RQ       |                       1 |            300 |         7.74944 |
| periodic + periodic + periodic + RQ       |                       1 |            400 |         6.89414 |
| periodic + periodic + periodic + RQ       |                       1 |            500 |         6.30401 |
| periodic + periodic + periodic * RQ       |                       1 |              0 |        93.0631  |
| periodic + periodic + periodic * RQ       |                       1 |            100 |        13.486   |
| periodic + periodic + periodic * RQ       |                       1 |            200 |        10.1296  |
| periodic + periodic + periodic * RQ       |                       1 |            300 |         8.58289 |
| periodic + periodic + periodic * RQ       |                       1 |            400 |         7.62909 |
| periodic + periodic + periodic * RQ       |                       1 |            500 |         6.96436 |
| periodic + periodic * periodic + RQ       |                       1 |              0 |        74.4272  |
| periodic + periodic * periodic + RQ       |                       1 |            100 |        12.7871  |
| periodic + periodic * periodic + RQ       |                       1 |            200 |         9.67317 |
| periodic + periodic * periodic + RQ       |                       1 |            300 |         8.20969 |
| periodic + periodic * periodic + RQ       |                       1 |            400 |         7.30396 |
| periodic + periodic * periodic + RQ       |                       1 |            500 |         6.67266 |
| periodic + periodic * periodic * RQ       |                       1 |              0 |       111.692   |
| periodic + periodic * periodic * RQ       |                       1 |            100 |        18.1257  |
| periodic + periodic * periodic * RQ       |                       1 |            200 |        13.4527  |
| periodic + periodic * periodic * RQ       |                       1 |            300 |        11.2515  |
| periodic + periodic * periodic * RQ       |                       1 |            400 |         9.88806 |
| periodic + periodic * periodic * RQ       |                       1 |            500 |         8.93775 |
| periodic * periodic + periodic * RQ       |                       1 |              0 |       107.984   |
| periodic * periodic + periodic * RQ       |                       1 |            100 |        17.9243  |
| periodic * periodic + periodic * RQ       |                       1 |            200 |        13.3169  |
| periodic * periodic + periodic * RQ       |                       1 |            300 |        11.1458  |
| periodic * periodic + periodic * RQ       |                       1 |            400 |         9.80025 |
| periodic * periodic + periodic * RQ       |                       1 |            500 |         8.86136 |
| periodic * periodic * periodic + RQ       |                       1 |              0 |       109.189   |
| periodic * periodic * periodic + RQ       |                       1 |            100 |        17.9343  |
| periodic * periodic * periodic + RQ       |                       1 |            200 |        13.322   |
| periodic * periodic * periodic + RQ       |                       1 |            300 |        11.1487  |
| periodic * periodic * periodic + RQ       |                       1 |            400 |         9.80198 |
| periodic * periodic * periodic + RQ       |                       1 |            500 |         8.86234 |
| periodic * periodic * periodic * RQ       |                       1 |              0 |       218.042   |
| periodic * periodic * periodic * RQ       |                       1 |            100 |        33.6086  |
| periodic * periodic * periodic * RQ       |                       1 |            200 |        24.4307  |
| periodic * periodic * periodic * RQ       |                       1 |            300 |        20.1037  |
| periodic * periodic * periodic * RQ       |                       1 |            400 |        17.4233  |
| periodic * periodic * periodic * RQ       |                       1 |            500 |        15.5538  |
| periodic + periodic + periodic + SE       |                       1 |              0 |       113.441   |
| periodic + periodic + periodic + SE       |                       1 |            100 |        13.424   |
| periodic + periodic + periodic + SE       |                       1 |            200 |         9.98245 |
| periodic + periodic + periodic + SE       |                       1 |            300 |         8.40225 |
