| Kernel Combination                                   |   Initialization Number |   Epoch Number |   Training Loss |
|------------------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic + periodic |                       1 |              0 |       214.479   |
| periodic + periodic + periodic + periodic + periodic |                       1 |            100 |        30.7591  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            200 |        22.6448  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            300 |        18.8994  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            400 |        16.6244  |
| periodic + periodic + periodic + periodic + periodic |                       1 |            500 |        15.0658  |
| periodic + periodic + periodic + periodic * periodic |                       1 |              0 |       197.63    |
| periodic + periodic + periodic + periodic * periodic |                       1 |            100 |        31.3205  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            200 |        23.0599  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            300 |        19.2394  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            400 |        16.9131  |
| periodic + periodic + periodic + periodic * periodic |                       1 |            500 |        15.3163  |
| periodic + periodic + periodic * periodic * periodic |                       1 |              0 |       208.985   |
| periodic + periodic + periodic * periodic * periodic |                       1 |            100 |        33.5089  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            200 |        24.621   |
| periodic + periodic + periodic * periodic * periodic |                       1 |            300 |        20.4967  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            400 |        17.9795  |
| periodic + periodic + periodic * periodic * periodic |                       1 |            500 |        16.2486  |
| periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       202.65    |
| periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        32.8137  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        24.1761  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        20.1598  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        17.7049  |
| periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        16.0148  |
| periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       236.017   |
| periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        37.8453  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        27.721   |
| periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        23.0014  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        20.1101  |
| periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        18.116   |
| periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       233.055   |
| periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        37.4511  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        27.4605  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        22.8019  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        19.9471  |
| periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        17.9773  |
| periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       331.138   |
| periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        52.2048  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        37.8607  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        31.1437  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        27.0127  |
| periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        24.1535  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |              0 |        87.2952  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            100 |        10.7991  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            200 |         8.17013 |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            300 |         6.9606  |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            400 |         6.22512 |
| periodic + periodic + periodic + periodic + RQ       |                       1 |            500 |         5.71909 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |              0 |        78.0944  |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            100 |        11.0692  |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            200 |         8.34531 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            300 |         7.12378 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            400 |         6.38727 |
| periodic + periodic + periodic + periodic * RQ       |                       1 |            500 |         5.87752 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |              0 |        57.4188  |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            100 |        10.199   |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            200 |         7.83845 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            300 |         6.73156 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            400 |         6.04741 |
| periodic + periodic + periodic * periodic + RQ       |                       1 |            500 |         5.57099 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |              0 |        76.3162  |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            100 |        12.8611  |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            200 |         9.72705 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            300 |         8.25263 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            400 |         7.34006 |
| periodic + periodic + periodic * periodic * RQ       |                       1 |            500 |         6.7043  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |              0 |        73.5591  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            100 |        12.7206  |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            200 |         9.63322 |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            300 |         8.17972 |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            400 |         7.27913 |
| periodic + periodic * periodic + periodic * RQ       |                       1 |            500 |         6.65089 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |              0 |        75.6357  |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            100 |        12.7587  |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            200 |         9.65659 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            300 |         8.19653 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            400 |         7.29216 |
| periodic + periodic * periodic * periodic + RQ       |                       1 |            500 |         6.66139 |
| periodic + periodic * periodic * periodic * RQ       |                       1 |              0 |       116.999   |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            100 |        18.1892  |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            200 |        13.5087  |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            300 |        11.3039  |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            400 |         9.93798 |
| periodic + periodic * periodic * periodic * RQ       |                       1 |            500 |         8.98511 |
| periodic * periodic + periodic * periodic + RQ       |                       1 |              0 |        76.7856  |
| periodic * periodic + periodic * periodic + RQ       |                       1 |            100 |        12.7845  |
| periodic * periodic + periodic * periodic + RQ       |                       1 |            200 |         9.67299 |
| periodic * periodic + periodic * periodic + RQ       |                       1 |            300 |         8.20886 |
| periodic * periodic + periodic * periodic + RQ       |                       1 |            400 |         7.30214 |
| periodic * periodic + periodic * periodic + RQ       |                       1 |            500 |         6.66981 |
| periodic * periodic + periodic * periodic * RQ       |                       1 |              0 |       117.684   |
| periodic * periodic + periodic * periodic * RQ       |                       1 |            100 |        18.205   |
| periodic * periodic + periodic * periodic * RQ       |                       1 |            200 |        13.5202  |
| periodic * periodic + periodic * periodic * RQ       |                       1 |            300 |        11.3135  |
| periodic * periodic + periodic * periodic * RQ       |                       1 |            400 |         9.94639 |
| periodic * periodic + periodic * periodic * RQ       |                       1 |            500 |         8.99275 |
| periodic * periodic * periodic + periodic * RQ       |                       1 |              0 |       107.846   |
| periodic * periodic * periodic + periodic * RQ       |                       1 |            100 |        17.914   |
| periodic * periodic * periodic + periodic * RQ       |                       1 |            200 |        13.3105  |
| periodic * periodic * periodic + periodic * RQ       |                       1 |            300 |        11.1409  |
| periodic * periodic * periodic + periodic * RQ       |                       1 |            400 |         9.79614 |
| periodic * periodic * periodic + periodic * RQ       |                       1 |            500 |         8.85774 |
| periodic * periodic * periodic * periodic + RQ       |                       1 |              0 |       109.54    |
| periodic * periodic * periodic * periodic + RQ       |                       1 |            100 |        17.937   |
| periodic * periodic * periodic * periodic + RQ       |                       1 |            200 |        13.3236  |
| periodic * periodic * periodic * periodic + RQ       |                       1 |            300 |        11.1498  |
| periodic * periodic * periodic * periodic + RQ       |                       1 |            400 |         9.80281 |
| periodic * periodic * periodic * periodic + RQ       |                       1 |            500 |         8.86302 |
| periodic * periodic * periodic * periodic * RQ       |                       1 |              0 |       218.225   |
| periodic * periodic * periodic * periodic * RQ       |                       1 |            100 |        33.6012  |
| periodic * periodic * periodic * periodic * RQ       |                       1 |            200 |        24.4261  |
| periodic * periodic * periodic * periodic * RQ       |                       1 |            300 |        20.1005  |
| periodic * periodic * periodic * periodic * RQ       |                       1 |            400 |        17.4208  |
| periodic * periodic * periodic * periodic * RQ       |                       1 |            500 |        15.5519  |
| periodic + periodic + periodic + periodic + SE       |                       1 |              0 |        98.1781  |
| periodic + periodic + periodic + periodic + SE       |                       1 |            100 |        11.4005  |
| periodic + periodic + periodic + periodic + SE       |                       1 |            200 |         8.57203 |
| periodic + periodic + periodic + periodic + SE       |                       1 |            300 |         7.27587 |
| periodic + periodic + periodic + periodic + SE       |                       1 |            400 |         6.48998 |
| periodic + periodic + periodic + periodic + SE       |                       1 |            500 |         5.95041 |
| periodic + periodic + periodic + periodic * SE       |                       1 |              0 |       101.247   |
