| Kernel Combination                                              |   Initialization Number |   Epoch Number |   Training Loss |
|-----------------------------------------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |              0 |       198.983   |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            100 |        29.3358  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            200 |        21.6599  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            300 |        18.1175  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            400 |        15.9652  |
| periodic + periodic + periodic + periodic + periodic + periodic |                       1 |            500 |        14.4906  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |              0 |       184.842   |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            100 |        29.5898  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            200 |        21.8583  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            300 |        18.2826  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            400 |        16.1063  |
| periodic + periodic + periodic + periodic + periodic * periodic |                       1 |            500 |        14.613   |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |              0 |       190.447   |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            100 |        30.8164  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            200 |        22.74    |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            300 |        18.9954  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            400 |        16.7118  |
| periodic + periodic + periodic + periodic * periodic * periodic |                       1 |            500 |        15.1428  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       185.943   |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        30.3212  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        22.4235  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        18.7562  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        16.5171  |
| periodic + periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        14.977   |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       202.518   |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        32.8333  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        24.1952  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        20.177   |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        17.7201  |
| periodic + periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        16.0283  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       200.769   |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        32.5986  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        24.0403  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        20.0585  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        17.6233  |
| periodic + periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        15.9459  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       233.581   |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        37.5428  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        27.5263  |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        22.855   |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        19.992   |
| periodic + periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        18.0163  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |              0 |       199.224   |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            100 |        32.3865  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            200 |        23.8985  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            300 |        19.9496  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            400 |        17.5341  |
| periodic * periodic + periodic * periodic + periodic * periodic |                       1 |            500 |        15.87    |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |              0 |       231.492   |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            100 |        37.252   |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            200 |        27.331   |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            300 |        22.7041  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            400 |        19.8681  |
| periodic * periodic + periodic * periodic * periodic * periodic |                       1 |            500 |        17.9108  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |              0 |       230.751   |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            100 |        37.1412  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            200 |        27.2551  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            300 |        22.645   |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            400 |        19.8192  |
| periodic * periodic * periodic + periodic * periodic * periodic |                       1 |            500 |        17.8691  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |              0 |       326.812   |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            100 |        51.6166  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            200 |        37.469   |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            300 |        30.8434  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            400 |        26.7676  |
| periodic * periodic * periodic * periodic * periodic * periodic |                       1 |            500 |        23.9457  |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |              0 |        71.4561  |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            100 |         9.28337 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            200 |         7.11669 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            300 |         6.11985 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            400 |         5.51347 |
| periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |            500 |         5.0961  |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |              0 |        67.0034  |
| periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |            100 |         9.43989 |
