| Kernel Combination             |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic |                       1 |              0 |       288.522   |
| periodic + periodic + periodic |                       1 |            100 |        36.8978  |
| periodic + periodic + periodic |                       1 |            200 |        26.8672  |
| periodic + periodic + periodic |                       1 |            300 |        22.2455  |
| periodic + periodic + periodic |                       1 |            400 |        19.4423  |
| periodic + periodic + periodic |                       1 |            500 |        17.5231  |
| periodic + periodic * periodic |                       1 |              0 |       264.005   |
| periodic + periodic * periodic |                       1 |            100 |        40.1444  |
| periodic + periodic * periodic |                       1 |            200 |        29.1804  |
| periodic + periodic * periodic |                       1 |            300 |        24.1078  |
| periodic + periodic * periodic |                       1 |            400 |        21.017   |
| periodic + periodic * periodic |                       1 |            500 |        18.8933  |
| periodic * periodic * periodic |                       1 |              0 |       358.465   |
| periodic * periodic * periodic |                       1 |            100 |        55.1482  |
| periodic * periodic * periodic |                       1 |            200 |        39.7288  |
| periodic * periodic * periodic |                       1 |            300 |        32.5485  |
| periodic * periodic * periodic |                       1 |            400 |        28.1531  |
| periodic * periodic * periodic |                       1 |            500 |        25.1219  |
| periodic + periodic + RQ       |                       1 |              0 |       109.149   |
| periodic + periodic + RQ       |                       1 |            100 |        14.9764  |
| periodic + periodic + RQ       |                       1 |            200 |        11.1197  |
| periodic + periodic + RQ       |                       1 |            300 |         9.33156 |
| periodic + periodic + RQ       |                       1 |            400 |         8.23738 |
| periodic + periodic + RQ       |                       1 |            500 |         7.4811  |
| periodic + periodic * RQ       |                       1 |              0 |       131.956   |
| periodic + periodic * RQ       |                       1 |            100 |        18.9485  |
| periodic + periodic * RQ       |                       1 |            200 |        13.9554  |
| periodic + periodic * RQ       |                       1 |            300 |        11.6736  |
| periodic + periodic * RQ       |                       1 |            400 |        10.2626  |
| periodic + periodic * RQ       |                       1 |            500 |         9.27689 |
| periodic * periodic + RQ       |                       1 |              0 |       108.27    |
| periodic * periodic + RQ       |                       1 |            100 |        17.9427  |
| periodic * periodic + RQ       |                       1 |            200 |        13.3275  |
| periodic * periodic + RQ       |                       1 |            300 |        11.1536  |
| periodic * periodic + RQ       |                       1 |            400 |         9.80655 |
| periodic * periodic + RQ       |                       1 |            500 |         8.86684 |
| periodic * periodic * RQ       |                       1 |              0 |       217.902   |
| periodic * periodic * RQ       |                       1 |            100 |        33.7973  |
| periodic * periodic * RQ       |                       1 |            200 |        24.5552  |
| periodic * periodic * RQ       |                       1 |            300 |        20.1962  |
| periodic * periodic * RQ       |                       1 |            400 |        17.4975  |
| periodic * periodic * RQ       |                       1 |            500 |        15.6169  |
| periodic + periodic + SE       |                       1 |              0 |       154.695   |
| periodic + periodic + SE       |                       1 |            100 |        17.41    |
| periodic + periodic + SE       |                       1 |            200 |        12.8109  |
| periodic + periodic + SE       |                       1 |            300 |        10.6798  |
| periodic + periodic + SE       |                       1 |            400 |         9.37126 |
| periodic + periodic + SE       |                       1 |            500 |         8.46711 |
| periodic + periodic * SE       |                       1 |              0 |       182.622   |
| periodic + periodic * SE       |                       1 |            100 |        20.9752  |
| periodic + periodic * SE       |                       1 |            200 |        15.4682  |
| periodic + periodic * SE       |                       1 |            300 |        12.8548  |
| periodic + periodic * SE       |                       1 |            400 |        11.2475  |
| periodic + periodic * SE       |                       1 |            500 |        10.1356  |
| periodic * periodic + SE       |                       1 |              0 |       110.402   |
| periodic * periodic + SE       |                       1 |            100 |        18.0699  |
| periodic * periodic + SE       |                       1 |            200 |        13.4348  |
| periodic * periodic + SE       |                       1 |            300 |        11.2541  |
| periodic * periodic + SE       |                       1 |            400 |         9.90299 |
| periodic * periodic + SE       |                       1 |            500 |         8.95951 |
| periodic * periodic * SE       |                       1 |              0 |       218.364   |
| periodic * periodic * SE       |                       1 |            100 |        34.0498  |
| periodic * periodic * SE       |                       1 |            200 |        24.6684  |
| periodic * periodic * SE       |                       1 |            300 |        20.2717  |
| periodic * periodic * SE       |                       1 |            400 |        17.5616  |
| periodic * periodic * SE       |                       1 |            500 |        15.6795  |
| periodic + RQ + RQ             |                       1 |              0 |        86.2821  |
| periodic + RQ + RQ             |                       1 |            100 |        13.1446  |
| periodic + RQ + RQ             |                       1 |            200 |         9.98567 |
| periodic + RQ + RQ             |                       1 |            300 |         8.48242 |
| periodic + RQ + RQ             |                       1 |            400 |         7.54295 |
| periodic + RQ + RQ             |                       1 |            500 |         6.88588 |
| periodic + RQ * RQ             |                       1 |              0 |       110.533   |
| periodic + RQ * RQ             |                       1 |            100 |        18.0366  |
| periodic + RQ * RQ             |                       1 |            200 |        13.3971  |
| periodic + RQ * RQ             |                       1 |            300 |        11.2116  |
| periodic + RQ * RQ             |                       1 |            400 |         9.85721 |
| periodic + RQ * RQ             |                       1 |            500 |         8.91222 |
| periodic * RQ + RQ             |                       1 |              0 |       107.93    |
| periodic * RQ + RQ             |                       1 |            100 |        17.9181  |
| periodic * RQ + RQ             |                       1 |            200 |        13.3125  |
| periodic * RQ + RQ             |                       1 |            300 |        11.1422  |
| periodic * RQ + RQ             |                       1 |            400 |         9.79717 |
| periodic * RQ + RQ             |                       1 |            500 |         8.85862 |
| periodic * RQ * RQ             |                       1 |              0 |       217.616   |
| periodic * RQ * RQ             |                       1 |            100 |        33.672   |
