| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| periodic             |                       1 |              0 |        585.577  |
| periodic             |                       1 |            100 |         64.1912 |
| periodic             |                       1 |            200 |         45.8044 |
| RQ                   |                       1 |              0 |        331.876  |
| RQ                   |                       1 |            100 |         36.8492 |
| RQ                   |                       1 |            200 |         26.973  |
| SE                   |                       1 |              0 |        384.075  |
| SE                   |                       1 |            100 |         41.6927 |
| SE                   |                       1 |            200 |         29.3243 |
| Linear               |                       1 |              0 |      81021.5    |
| Linear               |                       1 |            100 |      12228.7    |
| Linear               |                       1 |            200 |       8658.43   |
| Matern32             |                       1 |              0 |        395.787  |
| Matern32             |                       1 |            100 |         42.4513 |
| Matern32             |                       1 |            200 |         30.2089 |

| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| periodic + RQ        |                       1 |              0 |        203.64   |
| periodic + RQ        |                       1 |            100 |         22.2993 |
| periodic + RQ        |                       1 |            200 |         16.3369 |
| periodic * RQ        |                       1 |              0 |        266.216  |
| periodic * RQ        |                       1 |            100 |         36.1422 |
| periodic * RQ        |                       1 |            200 |         26.0578 |
| RQ + RQ              |                       1 |              0 |        186.479  |
| RQ + RQ              |                       1 |            100 |         20.096  |
| RQ + RQ              |                       1 |            200 |         14.9821 |
| RQ * RQ              |                       1 |              0 |        217.181  |
| RQ * RQ              |                       1 |            100 |         33.571  |
| RQ * RQ              |                       1 |            200 |         24.462  |
| SE + RQ              |                       1 |              0 |        179.029  |
| SE + RQ              |                       1 |            100 |         20.2645 |
| SE + RQ              |                       1 |            200 |         15.0157 |
| SE * RQ              |                       1 |              0 |        222.756  |
| SE * RQ              |                       1 |            100 |         33.9057 |
| SE * RQ              |                       1 |            200 |         24.6715 |
| Linear + RQ          |                       1 |              0 |        361.936  |
| Linear + RQ          |                       1 |            100 |         35.854  |
| Linear + RQ          |                       1 |            200 |         25.8451 |
| Linear * RQ          |                       1 |              0 |      19272.6    |
| Linear * RQ          |                       1 |            100 |       1028.75   |
| Linear * RQ          |                       1 |            200 |        745.227  |
| Matern32 + RQ        |                       1 |              0 |        180.946  |
| Matern32 + RQ        |                       1 |            100 |         20.5609 |
| Matern32 + RQ        |                       1 |            200 |         15.1748 |
| Matern32 * RQ        |                       1 |              0 |        234.322  |
| Matern32 * RQ        |                       1 |            100 |         34.6211 |
| Matern32 * RQ        |                       1 |            200 |         25.1198 |
| RQ + RQ              |                       1 |              0 |        158.266  |
| RQ + RQ              |                       1 |            100 |         19.3819 |
| RQ + RQ              |                       1 |            200 |         14.4407 |
| RQ * RQ              |                       1 |              0 |        216.169  |
| RQ * RQ              |                       1 |            100 |         33.5382 |
| RQ * RQ              |                       1 |            200 |         24.4392 |

