| Kernel Combination             |   Initialization Number |   Epoch Number |   Training Loss |
|--------------------------------|-------------------------|----------------|-----------------|
| periodic + periodic + periodic |                       1 |              0 |        252.48   |
| periodic + periodic + periodic |                       1 |            100 |         34.8874 |
| periodic + periodic + periodic |                       1 |            200 |         25.5478 |
| periodic + periodic * periodic |                       1 |              0 |        263.665  |
| periodic + periodic * periodic |                       1 |            100 |         39.7337 |
| periodic + periodic * periodic |                       1 |            200 |         28.9364 |
| periodic * periodic * periodic |                       1 |              0 |        369.489  |
| periodic * periodic * periodic |                       1 |            100 |         55.9086 |
| periodic * periodic * periodic |                       1 |            200 |         40.2623 |
| periodic + periodic + RQ       |                       1 |              0 |        127.484  |
| periodic + periodic + RQ       |                       1 |            100 |         15.7194 |
| periodic + periodic + RQ       |                       1 |            200 |         11.6505 |
| periodic + periodic * RQ       |                       1 |              0 |        139.116  |
| periodic + periodic * RQ       |                       1 |            100 |         19.4419 |
| periodic + periodic * RQ       |                       1 |            200 |         14.253  |
| periodic * periodic + RQ       |                       1 |              0 |        109.559  |
| periodic * periodic + RQ       |                       1 |            100 |         18.0332 |
| periodic * periodic + RQ       |                       1 |            200 |         13.4153 |
| periodic * periodic * RQ       |                       1 |              0 |        219.772  |
| periodic * periodic * RQ       |                       1 |            100 |         34.0112 |
| periodic * periodic * RQ       |                       1 |            200 |         24.6926 |
| periodic + periodic + SE       |                       1 |              0 |        138.924  |
| periodic + periodic + SE       |                       1 |            100 |         16.7508 |
| periodic + periodic + SE       |                       1 |            200 |         12.4039 |
| periodic + periodic * SE       |                       1 |              0 |        180.857  |
| periodic + periodic * SE       |                       1 |            100 |         20.948  |
| periodic + periodic * SE       |                       1 |            200 |         15.4186 |
| periodic * periodic + SE       |                       1 |              0 |        113.067  |
| periodic * periodic + SE       |                       1 |            100 |         18.1999 |
| periodic * periodic + SE       |                       1 |            200 |         13.5408 |
| periodic * periodic * SE       |                       1 |              0 |        221.261  |
| periodic * periodic * SE       |                       1 |            100 |         34.3211 |
