| Kernel Combination                        |   Initialization Number |   Training Loss |
|-------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic |                       1 |        31.651   |
| periodic + periodic + periodic * periodic |                       1 |        32.3502  |
| periodic + periodic * periodic * periodic |                       1 |        34.2274  |
| periodic * periodic + periodic * periodic |                       1 |        33.8909  |
| periodic * periodic * periodic * periodic |                       1 |        39.8097  |
| periodic + periodic + periodic + RQ       |                       1 |         7.41602 |
| periodic + periodic + periodic * RQ       |                       1 |         6.12747 |
| periodic + periodic * periodic + RQ       |                       1 |         7.22459 |
| periodic + periodic * periodic * RQ       |                       1 |         9.82239 |
| periodic * periodic + periodic * RQ       |                       1 |         9.32947 |
| periodic * periodic * periodic + RQ       |                       1 |         9.27445 |
| periodic * periodic * periodic * RQ       |                       1 |        16.5276  |
| periodic + periodic + periodic + SE       |                       1 |         7.2077  |
| periodic + periodic + periodic * SE       |                       1 |        13.1046  |
| periodic + periodic * periodic + SE       |                       1 |         7.45912 |
| periodic + periodic * periodic * SE       |                       1 |        12.4451  |
| periodic * periodic + periodic * SE       |                       1 |        11.6545  |
| periodic * periodic * periodic + SE       |                       1 |         9.90959 |
| periodic * periodic * periodic * SE       |                       1 |        20.0015  |
| periodic + periodic + RQ + RQ             |                       1 |         7.61556 |
| periodic + periodic + RQ * RQ             |                       1 |         6.75502 |
| periodic + periodic * RQ + RQ             |                       1 |         5.55115 |
| periodic + periodic * RQ * RQ             |                       1 |         9.59165 |
| periodic * periodic + RQ + RQ             |                       1 |         6.96595 |
| periodic * periodic + RQ * RQ             |                       1 |         9.36116 |
| periodic * periodic * RQ + RQ             |                       1 |         9.21369 |
| periodic * periodic * RQ * RQ             |                       1 |        16.3268  |
| periodic + periodic + RQ + SE             |                       1 |         7.89138 |
| periodic + periodic + RQ * SE             |                       1 |        11.4668  |
| periodic + periodic * RQ + SE             |                       1 |         7.34656 |
| periodic + periodic * RQ * SE             |                       1 |        10.8804  |
| periodic * periodic + RQ + SE             |                       1 |         6.92092 |
| periodic * periodic + RQ * SE             |                       1 |         9.46511 |
| periodic * periodic * RQ + SE             |                       1 |         9.21099 |
| periodic * periodic * RQ * SE             |                       1 |        16.3673  |
| periodic + periodic + SE + SE             |                       1 |         8.3162  |
| periodic + periodic + SE * SE             |                       1 |        11.6146  |
| periodic + periodic * SE + SE             |                       1 |         9.22603 |
| periodic + periodic * SE * SE             |                       1 |        12.4596  |
| periodic * periodic + SE + SE             |                       1 |         7.78608 |
| periodic * periodic + SE * SE             |                       1 |        11.636   |
| periodic * periodic * SE + SE             |                       1 |        11.1706  |
| periodic * periodic * SE * SE             |                       1 |        18.6928  |
| periodic + RQ + RQ + RQ                   |                       1 |         7.96397 |
| periodic + RQ + RQ * RQ                   |                       1 |         7.27316 |
| periodic + RQ * RQ * RQ                   |                       1 |         9.43187 |
| periodic * RQ + RQ + RQ                   |                       1 |         6.91902 |
| periodic * RQ + RQ * RQ                   |                       1 |         9.27376 |
| periodic * RQ * RQ + RQ                   |                       1 |         9.17305 |
| periodic * RQ * RQ * RQ                   |                       1 |        16.2127  |
| periodic + RQ + RQ + SE                   |                       1 |         8.65754 |
| periodic + RQ + RQ * SE                   |                       1 |        12.0529  |
| periodic + RQ * RQ + SE                   |                       1 |         7.22532 |
| periodic + RQ * RQ * SE                   |                       1 |        10.8127  |
| periodic * RQ + RQ + SE                   |                       1 |         6.90063 |
| periodic * RQ + RQ * SE                   |                       1 |         9.45102 |
| periodic * RQ * RQ + SE                   |                       1 |         9.17642 |
| periodic * RQ * RQ * SE                   |                       1 |        16.2557  |
