| Kernel Combination                                                         |   Initialization Number |   Training Loss |
|----------------------------------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic + periodic + periodic + periodic |                       1 |        30.3254  |
| periodic + periodic + periodic + periodic + periodic + periodic * periodic |                       1 |        30.2456  |
| periodic + periodic + periodic + periodic + periodic * periodic * periodic |                       1 |        30.5158  |
| periodic + periodic + periodic + periodic * periodic + periodic * periodic |                       1 |        30.4018  |
| periodic + periodic + periodic + periodic * periodic * periodic * periodic |                       1 |        30.98    |
| periodic + periodic + periodic * periodic + periodic * periodic * periodic |                       1 |        30.9111  |
| periodic + periodic + periodic * periodic * periodic * periodic * periodic |                       1 |        31.9129  |
| periodic + periodic * periodic + periodic * periodic + periodic * periodic |                       1 |        30.8565  |
| periodic + periodic * periodic + periodic * periodic * periodic * periodic |                       1 |        31.8444  |
| periodic + periodic * periodic * periodic + periodic * periodic * periodic |                       1 |        31.8004  |
| periodic + periodic * periodic * periodic * periodic * periodic * periodic |                       1 |        33.741   |
| periodic * periodic + periodic * periodic + periodic * periodic * periodic |                       1 |        31.7734  |
| periodic * periodic + periodic * periodic * periodic * periodic * periodic |                       1 |        33.6908  |
| periodic * periodic * periodic + periodic * periodic * periodic * periodic |                       1 |        33.6499  |
| periodic * periodic * periodic * periodic * periodic * periodic * periodic |                       1 |        39.3466  |
| periodic + periodic + periodic + periodic + periodic + periodic + RQ       |                       1 |         5.11605 |
| periodic + periodic + periodic + periodic + periodic + periodic * RQ       |                       1 |         4.48558 |
| periodic + periodic + periodic + periodic + periodic * periodic + RQ       |                       1 |         4.9073  |
| periodic + periodic + periodic + periodic + periodic * periodic * RQ       |                       1 |         4.75463 |
| periodic + periodic + periodic + periodic * periodic + periodic * RQ       |                       1 |         5.16567 |
| periodic + periodic + periodic + periodic * periodic * periodic + RQ       |                       1 |         5.23938 |
| periodic + periodic + periodic + periodic * periodic * periodic * RQ       |                       1 |         6.32689 |
| periodic + periodic + periodic * periodic + periodic * periodic + RQ       |                       1 |         5.1876  |
| periodic + periodic + periodic * periodic + periodic * periodic * RQ       |                       1 |         6.2684  |
