| Kernel Combination             |   Initialization Number |   Training Loss |
|--------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic |                       1 |       -0.595965 |
| periodic + periodic * periodic |                       1 |       -0.595869 |
| periodic * periodic * periodic |                       1 |       -0.595833 |
| periodic + periodic + RQ       |                       1 |       -0.595417 |
| periodic + periodic * RQ       |                       1 |       -0.606968 |
| periodic * periodic + RQ       |                       1 |       -0.598351 |
| periodic * periodic * RQ       |                       1 |       -0.607022 |
| periodic + periodic + SE       |                       1 |       -0.598723 |
| periodic + periodic * SE       |                       1 |       -0.595982 |
| periodic * periodic + SE       |                       1 |       -0.589844 |
| periodic * periodic * SE       |                       1 |       -0.595861 |
| periodic + periodic + Matern   |                       1 |       -0.602303 |
| periodic + periodic * Matern   |                       1 |       -0.602885 |
| periodic * periodic + Matern   |                       1 |       -0.602828 |
| periodic * periodic * Matern   |                       1 |       -0.603169 |
| periodic + RQ + RQ             |                       1 |       -0.600801 |
| periodic + RQ * RQ             |                       1 |       -0.607167 |
| periodic * RQ + RQ             |                       1 |       -0.606979 |
| periodic * RQ * RQ             |                       1 |       -0.606977 |
| periodic + RQ + SE             |                       1 |       -0.595561 |
| periodic + RQ * SE             |                       1 |       -0.598386 |
| periodic * RQ + SE             |                       1 |       -0.598391 |
| periodic * RQ * SE             |                       1 |       -0.607002 |
| periodic + RQ + Matern         |                       1 |       -0.595418 |
| periodic + RQ * Matern         |                       1 |       -0.598309 |
| periodic * RQ + Matern         |                       1 |       -0.598141 |
| periodic * RQ * Matern         |                       1 |       -0.607028 |
| periodic + SE + SE             |                       1 |       -0.608896 |
| periodic + SE * SE             |                       1 |       -0.611614 |
| periodic * SE + SE             |                       1 |       -0.589792 |
| periodic * SE * SE             |                       1 |       -0.595888 |
| periodic + SE + Matern         |                       1 |       -0.625884 |
| periodic + SE * Matern         |                       1 |       -0.610787 |
| periodic * SE + Matern         |                       1 |       -0.589565 |
| periodic * SE * Matern         |                       1 |       -0.59599  |
| periodic + Matern + Matern     |                       1 |       -0.623583 |
| periodic + Matern * Matern     |                       1 |       -0.610978 |
| periodic * Matern + Matern     |                       1 |       -0.610584 |
| periodic * Matern * Matern     |                       1 |       -0.602906 |
| RQ + RQ + RQ                   |                       1 |       -0.606968 |
| RQ + RQ * RQ                   |                       1 |       -0.60697  |
| RQ * RQ * RQ                   |                       1 |       -0.606964 |
| RQ + RQ + SE                   |                       1 |       -0.600919 |
| RQ + RQ * SE                   |                       1 |       -0.606962 |
| RQ * RQ + SE                   |                       1 |       -0.598388 |
| RQ * RQ * SE                   |                       1 |       -0.607019 |
| RQ + RQ + Matern               |                       1 |       -0.600705 |
| RQ + RQ * Matern               |                       1 |       -0.606995 |
| RQ * RQ + Matern               |                       1 |       -0.598114 |
| RQ * RQ * Matern               |                       1 |       -0.60699  |
| RQ + SE + SE                   |                       1 |       -0.595671 |
| RQ + SE * SE                   |                       1 |       -0.598389 |
| RQ * SE + SE                   |                       1 |       -0.598369 |
| RQ * SE * SE                   |                       1 |       -0.607005 |
| RQ + SE + Matern               |                       1 |       -0.595538 |
| RQ + SE * Matern               |                       1 |       -0.598401 |
| RQ * SE + Matern               |                       1 |       -0.598147 |
| RQ * SE * Matern               |                       1 |       -0.607021 |
