| Kernel Combination      |   Initialization Number | Epoch Number   |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       5 |                |       -114.199  |
| Periodic_0 * Periodic_0 |                       5 |                |        -86.1015 |
| Periodic_0 + RBF_0      |                       5 |                |       -123.347  |
| Periodic_0 * RBF_0      |                       5 |                |       -112.356  |
| Periodic_0 + Matern32_0 |                       5 |                |       -109.494  |
| Periodic_0 * Matern32_0 |                       5 |                |       -114.197  |
| Periodic_0 + Matern52_0 |                       5 |                |       -120.352  |
| Periodic_0 * Matern52_0 |                       5 |                |       -114.197  |
| Periodic_0 + Cosine_0   |                       5 |                |       -144.191  |
| Periodic_0 * Cosine_0   |                       5 |                |       -106.98   |
| Periodic_0 * RQ_0       |                       5 |                |       -114.199  |
| Periodic_0 + Linear_0   |                       5 |                |       -114.199  |
| Periodic_0 * Linear_0   |                       5 |                |         37.1398 |
| RBF_0 + RBF_0           |                       5 |                |       -122.367  |
| RBF_0 * RBF_0           |                       5 |                |       -122.367  |
| RBF_0 + Matern32_0      |                       5 |                |       -122.367  |
| RBF_0 * Matern32_0      |                       5 |                |       -122.367  |
| RBF_0 + Matern52_0      |                       5 |                |       -122.367  |
| RBF_0 * Matern52_0      |                       5 |                |       -122.367  |
| RBF_0 + Cosine_0        |                       5 |                |       -143.415  |
| RBF_0 * Cosine_0        |                       5 |                |       -143.415  |
| RBF_0 + RQ_0            |                       5 |                |       -122.367  |
| RBF_0 * RQ_0            |                       5 |                |       -122.367  |
| RBF_0 + Linear_0        |                       5 |                |       -122.367  |
| RBF_0 * Linear_0        |                       5 |                |       -124.23   |
| Matern32_0 + Matern32_0 |                       5 |                |       -109.249  |
| Matern32_0 * Matern32_0 |                       5 |                |       -111.097  |
| Matern32_0 + Matern52_0 |                       5 |                |       -115.654  |
| Matern32_0 * Matern52_0 |                       5 |                |       -115.768  |
| Matern32_0 + Cosine_0   |                       5 |                |       -143.415  |
| Matern32_0 * Cosine_0   |                       5 |                |       -143.415  |
| Matern32_0 + RQ_0       |                       5 |                |       -122.367  |
| Matern32_0 * RQ_0       |                       5 |                |       -122.367  |
| Matern32_0 + Linear_0   |                       5 |                |       -109.249  |
| Matern32_0 * Linear_0   |                       5 |                |       -109.402  |
| Matern52_0 + Matern52_0 |                       5 |                |       -115.654  |
| Matern52_0 * Matern52_0 |                       5 |                |       -117.388  |
| Matern52_0 + Cosine_0   |                       5 |                |       -143.415  |
| Matern52_0 * Cosine_0   |                       5 |                |       -143.415  |
| Matern52_0 + RQ_0       |                       5 |                |       -122.367  |
| Matern52_0 * RQ_0       |                       5 |                |       -122.367  |
| Matern52_0 + Linear_0   |                       5 |                |       -115.654  |
| Matern52_0 * Linear_0   |                       5 |                |       -117.722  |
| Cosine_0 + Cosine_0     |                       5 |                |       -143.61   |
| Cosine_0 * Cosine_0     |                       5 |                |       -136.137  |
| Cosine_0 + RQ_0         |                       5 |                |       -143.415  |
| Cosine_0 * RQ_0         |                       5 |                |       -143.415  |
| Cosine_0 + Linear_0     |                       5 |                |       -143.415  |
| Cosine_0 * Linear_0     |                       5 |                |         30.6262 |
| RQ_0 + RQ_0             |                       5 |                |       -122.367  |
| RQ_0 * RQ_0             |                       5 |                |       -122.367  |
| RQ_0 + Linear_0         |                       5 |                |       -122.367  |
| RQ_0 * Linear_0         |                       5 |                |       -124.23   |
| Linear_0 + Linear_0     |                       5 |                |        101.879  |
| Linear_0 * Linear_0     |                       5 |                |        101.05   |

| Kernel Combination                            |   Initialization Number | Epoch Number   |   Training Loss |
|-----------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Cosine_0 + Periodic_0 + Cosine_0 |                       5 |                |        -144.184 |
| Periodic_0 + Cosine_0 * Periodic_0 + Cosine_0 |                       5 |                |        -139.439 |

| Kernel Combination                              |   Initialization Number | Epoch Number   |   Training Loss |
|-------------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 + Cosine_0 |                       5 |                |       -144.806  |
| Periodic_0 * Periodic_0 * Periodic_0 + Cosine_0 |                       5 |                |        -99.2827 |
