| Kernel Combination                   |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       5 |                |      -114.199   |
| Periodic_0 + Periodic_0 * Periodic_0 |                       5 |                |      -105.671   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       5 |                |       -91.2918  |
| Periodic_0 + Periodic_0 + RBF_0      |                       5 |                |      -123.229   |
| Periodic_0 + Periodic_0 * RBF_0      |                       5 |                |      -114.197   |
| Periodic_0 * Periodic_0 + RBF_0      |                       5 |                |      -123.581   |
| Periodic_0 * Periodic_0 * RBF_0      |                       5 |                |      -110.973   |
| Periodic_0 + Periodic_0 + Matern32_0 |                       5 |                |      -114.199   |
| Periodic_0 + Periodic_0 * Matern32_0 |                       5 |                |      -114.197   |
| Periodic_0 * Periodic_0 + Matern32_0 |                       5 |                |      -110.375   |
| Periodic_0 * Periodic_0 * Matern32_0 |                       5 |                |      -106.199   |
| Periodic_0 + Periodic_0 + Matern52_0 |                       5 |                |      -116.651   |
| Periodic_0 + Periodic_0 * Matern52_0 |                       5 |                |      -114.197   |
| Periodic_0 * Periodic_0 + Matern52_0 |                       5 |                |      -116.4     |
| Periodic_0 * Periodic_0 * Matern52_0 |                       5 |                |      -105.649   |
| Periodic_0 + Periodic_0 + Cosine_0   |                       5 |                |      -144.691   |
| Periodic_0 + Periodic_0 * Cosine_0   |                       5 |                |       -92.7724  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       5 |                |      -143.415   |
| Periodic_0 * Periodic_0 * Cosine_0   |                       5 |                |       -99.2829  |
| Periodic_0 + Periodic_0 + RQ_0       |                       5 |                |      -122.532   |
| Periodic_0 + Periodic_0 * RQ_0       |                       5 |                |      -114.199   |
| Periodic_0 * Periodic_0 + RQ_0       |                       5 |                |      -125.719   |
| Periodic_0 * Periodic_0 * RQ_0       |                       5 |                |      -105.109   |
| Periodic_0 + Periodic_0 + Linear_0   |                       5 |                |      -114.199   |
| Periodic_0 + Periodic_0 * Linear_0   |                       5 |                |        37.1398  |
| Periodic_0 * Periodic_0 + Linear_0   |                       5 |                |       -86.1016  |
| Periodic_0 * Periodic_0 * Linear_0   |                       5 |                |        50.9479  |
| Periodic_0 + RBF_0 + RBF_0           |                       5 |                |      -122.369   |
| Periodic_0 + RBF_0 * RBF_0           |                       5 |                |      -122.708   |
| Periodic_0 * RBF_0 + RBF_0           |                       5 |                |      -124.969   |
| Periodic_0 * RBF_0 * RBF_0           |                       5 |                |      -114.423   |
| Periodic_0 + RBF_0 + Matern32_0      |                       5 |                |      -123.341   |
| Periodic_0 + RBF_0 * Matern32_0      |                       5 |                |      -129.978   |
| Periodic_0 * RBF_0 + Matern32_0      |                       5 |                |      -109.854   |
| Periodic_0 * RBF_0 * Matern32_0      |                       5 |                |      -114.197   |
| Periodic_0 + RBF_0 + Matern52_0      |                       5 |                |      -122.866   |
| Periodic_0 + RBF_0 * Matern52_0      |                       5 |                |      -122.93    |
| Periodic_0 * RBF_0 + Matern52_0      |                       5 |                |      -117.295   |
| Periodic_0 * RBF_0 * Matern52_0      |                       5 |                |      -114.642   |
| Periodic_0 + RBF_0 + Cosine_0        |                       5 |                |      -144.532   |
| Periodic_0 * RBF_0 + Cosine_0        |                       5 |                |      -144.071   |
| Periodic_0 * RBF_0 * Cosine_0        |                       5 |                |      -106.703   |
| Periodic_0 + RBF_0 + RQ_0            |                       5 |                |      -122.367   |
| Periodic_0 + RBF_0 * RQ_0            |                       5 |                |      -123.996   |
| Periodic_0 * RBF_0 * RQ_0            |                       5 |                |      -113.578   |
| Periodic_0 + RBF_0 + Linear_0        |                       5 |                |      -123.225   |
| Periodic_0 + RBF_0 * Linear_0        |                       5 |                |      -124.358   |
| Periodic_0 * RBF_0 + Linear_0        |                       5 |                |      -105.936   |
| Periodic_0 * RBF_0 * Linear_0        |                       5 |                |      -104.589   |
| Periodic_0 + Matern32_0 + Matern32_0 |                       5 |                |      -109.249   |
| Periodic_0 + Matern32_0 * Matern32_0 |                       5 |                |      -111.985   |
| Periodic_0 * Matern32_0 + Matern32_0 |                       5 |                |      -110.643   |
| Periodic_0 * Matern32_0 * Matern32_0 |                       5 |                |      -106.498   |
| Periodic_0 + Matern32_0 + Matern52_0 |                       5 |                |      -117.07    |
| Periodic_0 + Matern32_0 * Matern52_0 |                       5 |                |      -116.726   |
| Periodic_0 * Matern32_0 + Matern52_0 |                       5 |                |      -116.262   |
| Periodic_0 * Matern32_0 * Matern52_0 |                       5 |                |      -110.699   |
| Periodic_0 + Matern32_0 + Cosine_0   |                       5 |                |      -143.694   |
| Periodic_0 * Matern32_0 + Cosine_0   |                       5 |                |      -144.691   |
| Periodic_0 * Matern32_0 * Cosine_0   |                       5 |                |      -114.197   |
| Periodic_0 * Matern32_0 * RQ_0       |                       5 |                |      -111.929   |
| Periodic_0 + Matern32_0 + Linear_0   |                       5 |                |      -110.71    |
| Periodic_0 + Matern32_0 * Linear_0   |                       5 |                |      -109.402   |
| Periodic_0 * Matern32_0 + Linear_0   |                       5 |                |      -114.197   |
| Periodic_0 * Matern32_0 * Linear_0   |                       5 |                |      -105.134   |
| Periodic_0 + Matern52_0 + Matern52_0 |                       5 |                |      -116.417   |
| Periodic_0 + Matern52_0 * Matern52_0 |                       5 |                |      -118.76    |
| Periodic_0 * Matern52_0 + Matern52_0 |                       5 |                |      -117.996   |
| Periodic_0 * Matern52_0 * Matern52_0 |                       5 |                |      -112.095   |
| Periodic_0 + Matern52_0 + Cosine_0   |                       5 |                |      -143.415   |
| Periodic_0 + Matern52_0 * Cosine_0   |                       5 |                |      -143.413   |
| Periodic_0 * Matern52_0 + Cosine_0   |                       5 |                |      -144.596   |
| Periodic_0 * Matern52_0 * Cosine_0   |                       5 |                |      -122.81    |
| Periodic_0 * Matern52_0 * RQ_0       |                       5 |                |      -112.173   |
| Periodic_0 + Matern52_0 + Linear_0   |                       5 |                |      -117.142   |
| Periodic_0 + Matern52_0 * Linear_0   |                       5 |                |      -117.73    |
| Periodic_0 * Matern52_0 + Linear_0   |                       5 |                |      -111.101   |
| Periodic_0 * Matern52_0 * Linear_0   |                       5 |                |      -104.77    |
| Periodic_0 + Cosine_0 + Cosine_0     |                       5 |                |      -143.415   |
| Periodic_0 + Cosine_0 * Cosine_0     |                       5 |                |      -136.236   |
| Periodic_0 * Cosine_0 + Cosine_0     |                       5 |                |      -143.853   |
| Periodic_0 * Cosine_0 * Cosine_0     |                       5 |                |      -109.104   |
| Periodic_0 + Cosine_0 + RQ_0         |                       5 |                |      -144.191   |
| Periodic_0 + Cosine_0 * RQ_0         |                       5 |                |      -144.525   |
| Periodic_0 * Cosine_0 * RQ_0         |                       5 |                |      -105.731   |
| Periodic_0 + Cosine_0 + Linear_0     |                       5 |                |      -143.415   |
| Periodic_0 + Cosine_0 * Linear_0     |                       5 |                |         7.06163 |
| Periodic_0 * Cosine_0 + Linear_0     |                       5 |                |      -113.868   |
| Periodic_0 * Cosine_0 * Linear_0     |                       5 |                |      -105.563   |
| Periodic_0 * RQ_0 * RQ_0             |                       5 |                |      -104.612   |
| Periodic_0 + RQ_0 + Linear_0         |                       5 |                |      -122.359   |
| Periodic_0 * RQ_0 + Linear_0         |                       5 |                |      -117.005   |
| Periodic_0 * RQ_0 * Linear_0         |                       5 |                |      -104.382   |
| Periodic_0 + Linear_0 + Linear_0     |                       5 |                |      -114.198   |
| Periodic_0 + Linear_0 * Linear_0     |                       5 |                |        33.6378  |
| Periodic_0 * Linear_0 + Linear_0     |                       5 |                |        36.2943  |
| Periodic_0 * Linear_0 * Linear_0     |                       5 |                |        62.5624  |
| RBF_0 + RBF_0 + RBF_0                |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 * RBF_0                |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 * RBF_0                |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 + Matern32_0           |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 * Matern32_0           |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 + Matern32_0           |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 * Matern32_0           |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 + Matern52_0           |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 * Matern52_0           |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 + Matern52_0           |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 * Matern52_0           |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 + Cosine_0             |                       5 |                |      -143.415   |
| RBF_0 + RBF_0 * Cosine_0             |                       5 |                |      -143.415   |
| RBF_0 * RBF_0 + Cosine_0             |                       5 |                |      -143.415   |
| RBF_0 * RBF_0 * Cosine_0             |                       5 |                |      -143.414   |
| RBF_0 + RBF_0 + RQ_0                 |                       5 |                |      -122.367   |
| RBF_0 + RBF_0 * RQ_0                 |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 + RQ_0                 |                       5 |                |      -122.367   |
| RBF_0 * RBF_0 * RQ_0                 |                       5 |                |      -122.367   |
