| Kernel Combination                   |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       5 |                |       -121.694  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       5 |                |       -116.913  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       5 |                |       -102.744  |
| Periodic_0 + Periodic_0 + RBF_0      |                       5 |                |       -136.385  |
| Periodic_0 + Periodic_0 * RBF_0      |                       5 |                |       -121.692  |
| Periodic_0 * Periodic_0 + RBF_0      |                       5 |                |       -135.919  |
| Periodic_0 * Periodic_0 * RBF_0      |                       5 |                |       -120.872  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       5 |                |       -127.221  |
| Periodic_0 + Periodic_0 * Matern32_0 |                       5 |                |       -123.192  |
| Periodic_0 * Periodic_0 + Matern32_0 |                       5 |                |       -127.994  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       5 |                |       -115.822  |
| Periodic_0 + Periodic_0 + Matern52_0 |                       5 |                |       -129.152  |
| Periodic_0 + Periodic_0 * Matern52_0 |                       5 |                |       -121.692  |
| Periodic_0 * Periodic_0 + Matern52_0 |                       5 |                |       -130.787  |
| Periodic_0 * Periodic_0 * Matern52_0 |                       5 |                |       -117.96   |
| Periodic_0 + Periodic_0 + Cosine_0   |                       5 |                |       -155.56   |
| Periodic_0 + Periodic_0 * Cosine_0   |                       5 |                |        -97.5814 |
| Periodic_0 * Periodic_0 + Cosine_0   |                       5 |                |       -158.568  |
| Periodic_0 * Periodic_0 * Cosine_0   |                       5 |                |       -109.087  |
| Periodic_0 + Periodic_0 + RQ_0       |                       5 |                |       -134.127  |
| Periodic_0 + Periodic_0 * RQ_0       |                       5 |                |       -121.694  |
| Periodic_0 * Periodic_0 + RQ_0       |                       5 |                |       -140.873  |
| Periodic_0 * Periodic_0 * RQ_0       |                       5 |                |       -120.503  |
| Periodic_0 + Periodic_0 + Linear_0   |                       5 |                |       -121.694  |
| Periodic_0 + Periodic_0 * Linear_0   |                       5 |                |         53.8573 |
| Periodic_0 * Periodic_0 + Linear_0   |                       5 |                |        -96.9394 |
| Periodic_0 * Periodic_0 * Linear_0   |                       5 |                |         68.1588 |
| Periodic_0 + RBF_0 + RBF_0           |                       5 |                |       -136.059  |
| Periodic_0 + RBF_0 * RBF_0           |                       5 |                |       -134.487  |
| Periodic_0 * RBF_0 + RBF_0           |                       5 |                |       -136.344  |
| Periodic_0 * RBF_0 * RBF_0           |                       5 |                |       -121.098  |
| Periodic_0 + RBF_0 + Matern32_0      |                       5 |                |       -134.148  |
| Periodic_0 + RBF_0 * Matern32_0      |                       5 |                |       -136.074  |
| Periodic_0 * RBF_0 + Matern32_0      |                       5 |                |       -126.408  |
| Periodic_0 * RBF_0 * Matern32_0      |                       5 |                |       -121.692  |
| Periodic_0 + RBF_0 + Matern52_0      |                       5 |                |       -131.979  |
| Periodic_0 + RBF_0 * Matern52_0      |                       5 |                |       -136.416  |
| Periodic_0 * RBF_0 + Matern52_0      |                       5 |                |       -131.698  |
| Periodic_0 * RBF_0 * Matern52_0      |                       5 |                |       -121.113  |
| Periodic_0 + RBF_0 + Cosine_0        |                       5 |                |       -151.517  |
| Periodic_0 * RBF_0 + Cosine_0        |                       5 |                |       -156.545  |
| Periodic_0 * RBF_0 * Cosine_0        |                       5 |                |       -121.071  |
| Periodic_0 + RBF_0 + RQ_0            |                       5 |                |       -133.769  |
| Periodic_0 + RBF_0 * RQ_0            |                       5 |                |       -135.143  |
| Periodic_0 * RBF_0 * RQ_0            |                       5 |                |       -128.923  |
| Periodic_0 + RBF_0 + Linear_0        |                       5 |                |       -131.663  |
| Periodic_0 + RBF_0 * Linear_0        |                       5 |                |       -134.787  |
| Periodic_0 * RBF_0 + Linear_0        |                       5 |                |       -121.692  |
| Periodic_0 * RBF_0 * Linear_0        |                       5 |                |       -110.736  |
| Periodic_0 + Matern32_0 + Matern32_0 |                       5 |                |       -122.283  |
| Periodic_0 + Matern32_0 * Matern32_0 |                       5 |                |       -126.845  |
| Periodic_0 * Matern32_0 + Matern32_0 |                       5 |                |       -124.961  |
| Periodic_0 * Matern32_0 * Matern32_0 |                       5 |                |       -118.132  |
| Periodic_0 + Matern32_0 + Matern52_0 |                       5 |                |       -127.715  |
| Periodic_0 + Matern32_0 * Matern52_0 |                       5 |                |       -129.693  |
| Periodic_0 * Matern32_0 + Matern52_0 |                       5 |                |       -128.277  |
| Periodic_0 * Matern32_0 * Matern52_0 |                       5 |                |       -117.717  |
| Periodic_0 + Matern32_0 + Cosine_0   |                       5 |                |       -155.303  |
| Periodic_0 * Matern32_0 + Cosine_0   |                       5 |                |       -156.441  |
| Periodic_0 * Matern32_0 * Cosine_0   |                       5 |                |       -117.474  |
| Periodic_0 + Matern32_0 + RQ_0       |                       5 |                |       -133.768  |
| Periodic_0 + Matern32_0 * RQ_0       |                       5 |                |       -135.978  |
| Periodic_0 * Matern32_0 + RQ_0       |                       5 |                |       -137.355  |
| Periodic_0 * Matern32_0 * RQ_0       |                       5 |                |       -117.074  |
| Periodic_0 + Matern32_0 + Linear_0   |                       5 |                |       -122.218  |
| Periodic_0 + Matern32_0 * Linear_0   |                       5 |                |       -121.729  |
| Periodic_0 * Matern32_0 + Linear_0   |                       5 |                |       -112.495  |
| Periodic_0 * Matern32_0 * Linear_0   |                       5 |                |       -112.239  |
| Periodic_0 + Matern52_0 + Matern52_0 |                       5 |                |       -127.599  |
| Periodic_0 + Matern52_0 * Matern52_0 |                       5 |                |       -132.896  |
| Periodic_0 * Matern52_0 + Matern52_0 |                       5 |                |       -131.691  |
| Periodic_0 * Matern52_0 * Matern52_0 |                       5 |                |       -123.208  |
| Periodic_0 + Matern52_0 + Cosine_0   |                       5 |                |       -152.795  |
| Periodic_0 * Matern52_0 + Cosine_0   |                       5 |                |       -155.462  |
| Periodic_0 * Matern52_0 * Cosine_0   |                       5 |                |       -118.818  |
| Periodic_0 + Matern52_0 * RQ_0       |                       5 |                |       -137.07   |
| Periodic_0 * Matern52_0 + RQ_0       |                       5 |                |       -135.296  |
| Periodic_0 * Matern52_0 * RQ_0       |                       5 |                |       -122.392  |
| Periodic_0 + Matern52_0 + Linear_0   |                       5 |                |       -127.672  |
| Periodic_0 + Matern52_0 * Linear_0   |                       5 |                |       -126.633  |
| Periodic_0 * Matern52_0 + Linear_0   |                       5 |                |       -122.019  |
| Periodic_0 * Matern52_0 * Linear_0   |                       5 |                |       -112.811  |
| Periodic_0 + Cosine_0 + Cosine_0     |                       5 |                |       -157.261  |
| Periodic_0 + Cosine_0 * Cosine_0     |                       5 |                |       -147.893  |
| Periodic_0 * Cosine_0 + Cosine_0     |                       5 |                |       -156.426  |
| Periodic_0 * Cosine_0 * Cosine_0     |                       5 |                |       -115.198  |
| Periodic_0 + Cosine_0 + RQ_0         |                       5 |                |       -157.336  |
| Periodic_0 + Cosine_0 * RQ_0         |                       5 |                |       -154.273  |
| Periodic_0 * Cosine_0 * RQ_0         |                       5 |                |       -118.831  |
| Periodic_0 + Cosine_0 + Linear_0     |                       5 |                |       -153.907  |
| Periodic_0 + Cosine_0 * Linear_0     |                       5 |                |         20.2778 |
| Periodic_0 * Cosine_0 + Linear_0     |                       5 |                |       -108.429  |
| Periodic_0 * Cosine_0 * Linear_0     |                       5 |                |        -80.9587 |
| Periodic_0 + RQ_0 * RQ_0             |                       5 |                |       -136.679  |
| Periodic_0 * RQ_0 * RQ_0             |                       5 |                |       -121.694  |
| Periodic_0 * RQ_0 + Linear_0         |                       5 |                |       -122.953  |
| Periodic_0 * RQ_0 * Linear_0         |                       5 |                |       -114.148  |
| Periodic_0 + Linear_0 + Linear_0     |                       5 |                |       -121.693  |
| Periodic_0 + Linear_0 * Linear_0     |                       5 |                |         52.266  |
| Periodic_0 * Linear_0 + Linear_0     |                       5 |                |         53.8331 |
| Periodic_0 * Linear_0 * Linear_0     |                       5 |                |         79.3799 |
| RBF_0 + RBF_0 + RBF_0                |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 * RBF_0                |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 * RBF_0                |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 + Matern32_0           |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 * Matern32_0           |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 + Matern32_0           |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 * Matern32_0           |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 + Matern52_0           |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 * Matern52_0           |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 + Matern52_0           |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 * Matern52_0           |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 + Cosine_0             |                       5 |                |       -151.517  |
| RBF_0 + RBF_0 * Cosine_0             |                       5 |                |       -151.517  |
| RBF_0 * RBF_0 + Cosine_0             |                       5 |                |       -151.517  |
| RBF_0 * RBF_0 * Cosine_0             |                       5 |                |       -151.517  |
| RBF_0 + RBF_0 + RQ_0                 |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 * RQ_0                 |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 + RQ_0                 |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 * RQ_0                 |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 + Linear_0             |                       5 |                |       -130.158  |
| RBF_0 + RBF_0 * Linear_0             |                       5 |                |       -132.187  |
| RBF_0 * RBF_0 + Linear_0             |                       5 |                |       -130.158  |
| RBF_0 * RBF_0 * Linear_0             |                       5 |                |       -131.791  |
| RBF_0 + Matern32_0 + Matern32_0      |                       5 |                |       -130.158  |
| RBF_0 + Matern32_0 * Matern32_0      |                       5 |                |       -130.158  |
| RBF_0 * Matern32_0 + Matern32_0      |                       5 |                |       -130.158  |
| RBF_0 * Matern32_0 * Matern32_0      |                       5 |                |       -130.158  |
| RBF_0 + Matern32_0 + Matern52_0      |                       5 |                |       -130.158  |
| RBF_0 + Matern32_0 * Matern52_0      |                       5 |                |       -130.158  |
| RBF_0 * Matern32_0 + Matern52_0      |                       5 |                |       -130.158  |
| RBF_0 * Matern32_0 * Matern52_0      |                       5 |                |       -130.158  |
| RBF_0 + Matern32_0 + Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 + Matern32_0 * Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 * Matern32_0 + Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 * Matern32_0 * Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 + Matern32_0 + RQ_0            |                       5 |                |       -130.158  |
| RBF_0 + Matern32_0 * RQ_0            |                       5 |                |       -130.158  |
