| Kernel Combination      |   Initialization Number | Epoch Number   |   Training Loss |
|-------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 |                       5 |                |         160.792 |
| Periodic_0 * Periodic_0 |                       5 |                |         158.542 |
| Periodic_0 + RBF_0      |                       5 |                |         127.999 |
| Periodic_0 * RBF_0      |                       5 |                |         128.667 |
| Periodic_0 + Matern32_0 |                       5 |                |         127.36  |
| Periodic_0 * Matern32_0 |                       5 |                |         126.598 |
| Periodic_0 + Matern52_0 |                       5 |                |         124.768 |
| Periodic_0 * Matern52_0 |                       5 |                |         128.677 |
| Periodic_0 + Cosine_0   |                       5 |                |         156.598 |
| Periodic_0 * Cosine_0   |                       5 |                |         152.086 |
| Periodic_0 + RQ_0       |                       5 |                |         126.578 |
| Periodic_0 * RQ_0       |                       5 |                |         128.379 |
| Periodic_0 + Linear_0   |                       5 |                |         156.106 |
| Periodic_0 * Linear_0   |                       5 |                |         150.605 |
| RBF_0 + RBF_0           |                       5 |                |         129.62  |
| RBF_0 * RBF_0           |                       5 |                |         129.682 |
| RBF_0 + Matern32_0      |                       5 |                |         128.823 |
| RBF_0 * Matern32_0      |                       5 |                |         128.988 |
| RBF_0 + Matern52_0      |                       5 |                |         128.838 |
| RBF_0 * Matern52_0      |                       5 |                |         129.173 |
| RBF_0 + Cosine_0        |                       5 |                |         129.102 |
| RBF_0 * Cosine_0        |                       5 |                |         129.682 |
| RBF_0 + RQ_0            |                       5 |                |         128.861 |
| RBF_0 * RQ_0            |                       5 |                |         128.838 |
| RBF_0 + Linear_0        |                       5 |                |         129.682 |
| RBF_0 * Linear_0        |                       5 |                |         119.973 |
| Matern32_0 + Matern32_0 |                       5 |                |         129.662 |
| Matern32_0 * Matern32_0 |                       5 |                |         129.282 |
| Matern32_0 + Matern52_0 |                       5 |                |         129.213 |
| Matern32_0 * Matern52_0 |                       5 |                |         129.145 |
| Matern32_0 + Cosine_0   |                       5 |                |         126.339 |
| Matern32_0 * Cosine_0   |                       5 |                |         128.033 |
| Matern32_0 + RQ_0       |                       5 |                |         128.925 |
| Matern32_0 * RQ_0       |                       5 |                |         128.988 |
| Matern32_0 + Linear_0   |                       5 |                |         129.662 |
| Matern32_0 * Linear_0   |                       5 |                |         121.785 |
| Matern52_0 + Matern52_0 |                       5 |                |         129.23  |
| Matern52_0 * Matern52_0 |                       5 |                |         129.201 |
| Matern52_0 + Cosine_0   |                       5 |                |         126.52  |
| Matern52_0 * Cosine_0   |                       5 |                |         128.732 |
| Matern52_0 + RQ_0       |                       5 |                |         128.907 |
| Matern52_0 * RQ_0       |                       5 |                |         129.173 |
| Matern52_0 + Linear_0   |                       5 |                |         129.23  |
| Matern52_0 * Linear_0   |                       5 |                |         120.82  |
| Cosine_0 + Cosine_0     |                       5 |                |         161.697 |
| Cosine_0 * Cosine_0     |                       5 |                |         162.007 |
| Cosine_0 + RQ_0         |                       5 |                |         128.025 |
| Cosine_0 * RQ_0         |                       5 |                |         127.043 |
| Cosine_0 + Linear_0     |                       5 |                |         161.814 |
| Cosine_0 * Linear_0     |                       5 |                |         161.194 |
| RQ_0 + RQ_0             |                       5 |                |         128.871 |
| RQ_0 * RQ_0             |                       5 |                |         128.838 |
| RQ_0 + Linear_0         |                       5 |                |         129.446 |
| RQ_0 * Linear_0         |                       5 |                |         119.974 |
| Linear_0 + Linear_0     |                       5 |                |         164.547 |
| Linear_0 * Linear_0     |                       5 |                |         162.744 |

| Kernel Combination                  |   Initialization Number | Epoch Number   |   Training Loss |
|-------------------------------------|-------------------------|----------------|-----------------|
| RBF_0 * Linear_0 + RBF_0 * Linear_0 |                       5 |                |         119.973 |
| RBF_0 * Linear_0 * RBF_0 * Linear_0 |                       5 |                |         132.686 |

| Kernel Combination                         |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + RBF_0 * Linear_0 |                       5 |                |         113.239 |
| Periodic_0 + Periodic_0 * RBF_0 * Linear_0 |                       5 |                |         117.986 |
| Periodic_0 * Periodic_0 + RBF_0 * Linear_0 |                       5 |                |         109.957 |
| Periodic_0 * Periodic_0 * RBF_0 * Linear_0 |                       5 |                |         118.725 |
| Periodic_0 + RBF_0 + RBF_0 * Linear_0      |                       5 |                |         108.652 |
| Periodic_0 + RBF_0 * RBF_0 * Linear_0      |                       5 |                |         118.214 |
| Periodic_0 * RBF_0 + RBF_0 * Linear_0      |                       5 |                |         113.731 |
| Periodic_0 * RBF_0 * RBF_0 * Linear_0      |                       5 |                |         119.696 |
| Periodic_0 + Matern32_0 + RBF_0 * Linear_0 |                       5 |                |         108.614 |
| Periodic_0 + Matern32_0 * RBF_0 * Linear_0 |                       5 |                |         119.617 |
| Periodic_0 * Matern32_0 + RBF_0 * Linear_0 |                       5 |                |         113.552 |
| Periodic_0 * Matern32_0 * RBF_0 * Linear_0 |                       5 |                |         119.696 |
| Periodic_0 + Matern52_0 + RBF_0 * Linear_0 |                       5 |                |         107.205 |
| Periodic_0 + Matern52_0 * RBF_0 * Linear_0 |                       5 |                |         119.696 |
| Periodic_0 * Matern52_0 + RBF_0 * Linear_0 |                       5 |                |         113.783 |
| Periodic_0 * Matern52_0 * RBF_0 * Linear_0 |                       5 |                |         119.696 |
