| Kernel Combination                   |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       5 |                |         153.624 |
| Periodic_0 + Periodic_0 * Periodic_0 |                       5 |                |         129.46  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       5 |                |         151.254 |
| Periodic_0 + Periodic_0 + RBF_0      |                       5 |                |         125.664 |
| Periodic_0 + Periodic_0 * RBF_0      |                       5 |                |         128.222 |
| Periodic_0 * Periodic_0 + RBF_0      |                       5 |                |         124.51  |
| Periodic_0 * Periodic_0 * RBF_0      |                       5 |                |         126.72  |
| Periodic_0 + Periodic_0 + Matern32_0 |                       5 |                |         126.195 |
| Periodic_0 + Periodic_0 * Matern32_0 |                       5 |                |         126.309 |
| Periodic_0 * Periodic_0 + Matern32_0 |                       5 |                |         128.221 |
| Periodic_0 * Periodic_0 * Matern32_0 |                       5 |                |         123.797 |
| Periodic_0 + Periodic_0 + Matern52_0 |                       5 |                |         126.034 |
| Periodic_0 + Periodic_0 * Matern52_0 |                       5 |                |         126.464 |
| Periodic_0 * Periodic_0 + Matern52_0 |                       5 |                |         127.465 |
| Periodic_0 * Periodic_0 * Matern52_0 |                       5 |                |         124.034 |
| Periodic_0 + Periodic_0 + Cosine_0   |                       5 |                |         152.49  |
| Periodic_0 + Periodic_0 * Cosine_0   |                       5 |                |         148.04  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       5 |                |         147.268 |
| Periodic_0 * Periodic_0 * Cosine_0   |                       5 |                |         132.362 |
| Periodic_0 + Periodic_0 + RQ_0       |                       5 |                |         128.157 |
| Periodic_0 + Periodic_0 * RQ_0       |                       5 |                |         128.301 |
| Periodic_0 * Periodic_0 + RQ_0       |                       5 |                |         126.457 |
| Periodic_0 * Periodic_0 * RQ_0       |                       5 |                |         125.23  |
| Periodic_0 + Periodic_0 + Linear_0   |                       5 |                |         155.359 |
| Periodic_0 + Periodic_0 * Linear_0   |                       5 |                |         142.776 |
| Periodic_0 * Periodic_0 + Linear_0   |                       5 |                |         128.461 |
| Periodic_0 * Periodic_0 * Linear_0   |                       5 |                |         126.692 |
| Periodic_0 + RBF_0 * RBF_0           |                       5 |                |         126.132 |
| Periodic_0 * RBF_0 + RBF_0           |                       5 |                |         126.759 |
| Periodic_0 * RBF_0 * RBF_0           |                       5 |                |         128.488 |
| Periodic_0 + RBF_0 + Matern32_0      |                       5 |                |         125.977 |
| Periodic_0 + RBF_0 * Matern32_0      |                       5 |                |         124.752 |
| Periodic_0 * RBF_0 + Matern32_0      |                       5 |                |         127.389 |
| Periodic_0 * RBF_0 * Matern32_0      |                       5 |                |         126.833 |
| Periodic_0 + RBF_0 + Matern52_0      |                       5 |                |         127.448 |
| Periodic_0 + RBF_0 * Matern52_0      |                       5 |                |         126.571 |
| Periodic_0 * RBF_0 + Matern52_0      |                       5 |                |         125.76  |
| Periodic_0 * RBF_0 * Matern52_0      |                       5 |                |         126.504 |
| Periodic_0 + RBF_0 + Cosine_0        |                       5 |                |         128.799 |
| Periodic_0 + RBF_0 * Cosine_0        |                       5 |                |         128.847 |
| Periodic_0 * RBF_0 + Cosine_0        |                       5 |                |         127.964 |
| Periodic_0 * RBF_0 * Cosine_0        |                       5 |                |         124.095 |
| Periodic_0 + RBF_0 * RQ_0            |                       5 |                |         125.46  |
| Periodic_0 * RBF_0 + RQ_0            |                       5 |                |         126.124 |
| Periodic_0 * RBF_0 * RQ_0            |                       5 |                |         125.315 |
| Periodic_0 + RBF_0 + Linear_0        |                       5 |                |         126.394 |
| Periodic_0 + RBF_0 * Linear_0        |                       5 |                |         119.627 |
| Periodic_0 * RBF_0 + Linear_0        |                       5 |                |         127.875 |
| Periodic_0 * RBF_0 * Linear_0        |                       5 |                |         119.417 |
| Periodic_0 + Matern32_0 + Matern32_0 |                       5 |                |         128.522 |
| Periodic_0 + Matern32_0 * Matern32_0 |                       5 |                |         125.979 |
| Periodic_0 * Matern32_0 + Matern32_0 |                       5 |                |         125.689 |
| Periodic_0 * Matern32_0 * Matern32_0 |                       5 |                |         128.478 |
| Periodic_0 + Matern32_0 + Matern52_0 |                       5 |                |         126.419 |
| Periodic_0 + Matern32_0 * Matern52_0 |                       5 |                |         128.489 |
| Periodic_0 * Matern32_0 + Matern52_0 |                       5 |                |         126.267 |
| Periodic_0 * Matern32_0 * Matern52_0 |                       5 |                |         126.26  |
| Periodic_0 + Matern32_0 + Cosine_0   |                       5 |                |         125.983 |
| Periodic_0 + Matern32_0 * Cosine_0   |                       5 |                |         123.001 |
| Periodic_0 * Matern32_0 + Cosine_0   |                       5 |                |         126.833 |
| Periodic_0 * Matern32_0 * Cosine_0   |                       5 |                |         126.26  |
| Periodic_0 + Matern32_0 + RQ_0       |                       5 |                |         127.675 |
| Periodic_0 + Matern32_0 * RQ_0       |                       5 |                |         127.15  |
| Periodic_0 * Matern32_0 + RQ_0       |                       5 |                |         125.352 |
| Periodic_0 * Matern32_0 * RQ_0       |                       5 |                |         126.318 |
| Periodic_0 + Matern32_0 + Linear_0   |                       5 |                |         127.474 |
| Periodic_0 + Matern32_0 * Linear_0   |                       5 |                |         119.935 |
| Periodic_0 * Matern32_0 + Linear_0   |                       5 |                |         126.833 |
| Periodic_0 * Matern32_0 * Linear_0   |                       5 |                |         115.956 |
| Periodic_0 + Matern52_0 + Matern52_0 |                       5 |                |         125.008 |
| Periodic_0 + Matern52_0 * Matern52_0 |                       5 |                |         125.272 |
| Periodic_0 * Matern52_0 + Matern52_0 |                       5 |                |         125.759 |
| Periodic_0 * Matern52_0 * Matern52_0 |                       5 |                |         128.738 |
| Periodic_0 + Matern52_0 + Cosine_0   |                       5 |                |         127.86  |
