| Kernel Combination                   |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       5 |                |        186.282  |
| Periodic_0 + Periodic_0 * Periodic_0 |                       5 |                |        154.095  |
| Periodic_0 * Periodic_0 * Periodic_0 |                       5 |                |        198.313  |
| Periodic_0 + Periodic_0 + RBF_0      |                       5 |                |        132.007  |
| Periodic_0 + Periodic_0 * RBF_0      |                       5 |                |        127.883  |
| Periodic_0 * Periodic_0 + RBF_0      |                       5 |                |        127.834  |
| Periodic_0 * Periodic_0 * RBF_0      |                       5 |                |        126.07   |
| Periodic_0 + Periodic_0 + Matern32_0 |                       5 |                |        126.571  |
| Periodic_0 + Periodic_0 * Matern32_0 |                       5 |                |        126.52   |
| Periodic_0 * Periodic_0 + Matern32_0 |                       5 |                |        131.685  |
| Periodic_0 * Periodic_0 * Matern32_0 |                       5 |                |        125.015  |
| Periodic_0 + Periodic_0 + Matern52_0 |                       5 |                |        126.06   |
| Periodic_0 + Periodic_0 * Matern52_0 |                       5 |                |        128.678  |
| Periodic_0 * Periodic_0 + Matern52_0 |                       5 |                |        129.013  |
| Periodic_0 * Periodic_0 * Matern52_0 |                       5 |                |        129.801  |
| Periodic_0 + Periodic_0 + Cosine_0   |                       5 |                |        195.421  |
| Periodic_0 + Periodic_0 * Cosine_0   |                       5 |                |        179.427  |
| Periodic_0 * Periodic_0 + Cosine_0   |                       5 |                |        196.234  |
| Periodic_0 * Periodic_0 * Cosine_0   |                       5 |                |        173.249  |
| Periodic_0 + Periodic_0 + RQ_0       |                       5 |                |        123.329  |
| Periodic_0 + Periodic_0 * RQ_0       |                       5 |                |        129.703  |
| Periodic_0 * Periodic_0 + RQ_0       |                       5 |                |        123.196  |
| Periodic_0 * Periodic_0 * RQ_0       |                       5 |                |        124.481  |
| Periodic_0 + Periodic_0 + Linear_0   |                       5 |                |        186.393  |
| Periodic_0 + Periodic_0 * Linear_0   |                       5 |                |        148.778  |
| Periodic_0 * Periodic_0 + Linear_0   |                       5 |                |        192.387  |
